POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
22,Sunil Narine,4,14,2,13,3.5,12,CSK,Eden Gardens,14 May 2012
23,Kieron Pollard,4,14,2,14,3.5,12,PBKS,Wankhede Stadium,22 April 2012
24,Kieron Pollard,4,15,2,11,3.75,12,CSK,Chidambaram,04 April 2012
25,Praveen Kumar,4,15,2,12,3.75,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,08 May 2012
26,Albie Morkel,4,15,1,13,3.75,24,DC,Chidambaram,12 May 2012
27,Sunil Narine,4,15,1,12,3.75,24,PWI,Maharashtra Cricket Association's International Stadium,19 May 2012
28,Brett Lee,4,15,1,15,3.75,24,DEC,Barabati Stadium,22 April 2012
29,Zaheer Khan,4,15,1,17,3.75,24,RR,M. Chinnaswamy Stadium,15 April 2012
30,Roelof van der Merwe,4,15,0,11,3.75,0,CSK,Arun Jaitley Stadium,10 April 2012
31,Ravindra Jadeja,4,16,5,17,4,4.8,DEC,ACA-VDCA Stadium,07 April 2012
32,Shahbaz Nadeem,4,16,3,9,4,8,DEC,Arun Jaitley Stadium,19 April 2012
33,Muttiah Muralitharan,4,16,2,11,4,12,PWI,Maharashtra Cricket Association's International Stadium,11 May 2012
34,Dale Steyn,4,16,2,12,4,12,RR,Rajiv Gandhi Intl. Cricket Stadium,18 May 2012
35,Shahbaz Nadeem,4,16,2,15,4,12,MI,Wankhede Stadium,16 April 2012
36,Lasith Malinga,4,16,2,12,4,12,PWI,Wankhede Stadium,06 April 2012
37,Shikhar Dhawan,2,8,1,4,4,12,PBKS,Rajiv Gandhi Intl. Cricket Stadium,08 May 2012
38,Muttiah Muralitharan,4,16,1,10,4,24,MI,M. Chinnaswamy Stadium,14 May 2012
39,Dwayne Smith,2,8,1,6,4,12,KKR,Wankhede Stadium,16 May 2012
40,Stuart Binny,3,12,1,7,4,18,PWI,Maharashtra Cricket Association's International Stadium,08 May 2012
41,Rahul Sharma,4,16,1,12,4,24,MI,Wankhede Stadium,06 April 2012
42,Umesh Yadav,2,8,0,5,4,0,RCB,M. Chinnaswamy Stadium,07 April 2012
43,Ravichandran Ashwin,3,12,0,10,4,0,DEC,ACA-VDCA Stadium,07 April 2012
44,Zaheer Khan,4,16,0,14,4,0,MI,Wankhede Stadium,09 May 2012
45,Lasith Malinga,3.5,16,2,13,4.17,11.5,CSK,Chidambaram,04 April 2012
