,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1579,Krunal Pandya,4,24,0,0,11,0,RCB,M. Chinnaswamy Stadium,01-May-18
1580,Sandeep Sharma,4,24,0,0,11,0,DC,Arun Jaitley Stadium,10-May-18
1581,Andrew Tye,4,25,2,0,11,12,DC,Arun Jaitley Stadium,23-Apr-18
1582,Mustafizur Rahman,4,25,1,0,11,24,DC,Wankhede Stadium,14-Apr-18
1583,Ben Stokes,4,26,2,0,11,12,MI,Wankhede Stadium,13-May-18
1584,Yuzvendra Chahal,4,26,2,0,11,12,CSK,M. Chinnaswamy Stadium,25-Apr-18
1585,Lungi Ngidi,4,26,1,1,11,24,SRH,Wankhede Stadium,27-May-18
1586,Imran Tahir,4,26,0,0,11,0,KKR,Chidambaram,10-Apr-18
1587,Umesh Yadav,4,27,1,0,11,24,DC,M. Chinnaswamy Stadium,21-Apr-18
1588,Sunil Narine,4,27,1,0,11,24,MI,Eden Gardens,09-May-18
1589,Avesh Khan,4,28,0,0,11,0,CSK,Maharashtra Cricket Association's International Stadium,30-Apr-18
1590,Umesh Yadav,4,29,2,0,11,12,MI,M. Chinnaswamy Stadium,01-May-18
1591,Mujeeb Ur Rahman,4,29,1,0,11,24,RCB,M. Chinnaswamy Stadium,13-Apr-18
1592,Mitchell McClenaghan,3,22,2,0,11,9,SRH,Wankhede Stadium,24-Apr-18
1593,Ravichandran Ashwin,4,30,2,0,11,12,RCB,M. Chinnaswamy Stadium,13-Apr-18
1594,Deepak Chahar,3,23,1,0,11,18,DC,Arun Jaitley Stadium,18-May-18
1595,Chris Jordan,4,31,0,0,11,0,PBKS,IS Bindra Stadium,19-Apr-18
1596,Mitchell McClenaghan,3,24,1,0,11,18,KKR,Eden Gardens,09-May-18
1597,Imran Tahir,4,34,2,0,11,12,PBKS,IS Bindra Stadium,15-Apr-18
1598,Mohammed Siraj,4,34,0,0,11,0,MI,Wankhede Stadium,17-Apr-18
1599,Trent Boult,3.5,34,1,0,11,23,PBKS,IS Bindra Stadium,08-Apr-18
1600,Mujeeb Ur Rahman,4,37,2,0,11,12,MI,Holkar Cricket Stadium,04-May-18
1601,Shardul Thakur,4,37,1,0,11,24,KKR,Chidambaram,10-Apr-18
1602,Jofra Archer,4,37,0,0,11,0,RCB,Sawai Mansingh Stadium,19-May-18
1603,Chris Morris,4,41,2,0,11,12,KKR,Eden Gardens,16-Apr-18
1604,KM Asif,3,32,1,0,11,18,KKR,Eden Gardens,03-May-18
1605,Bhuvneshwar Kumar,4,51,1,0,11,24,DC,Arun Jaitley Stadium,10-May-18
1606,Shreyas Gopal,4,16,4,0,10,6,RCB,Sawai Mansingh Stadium,19-May-18
1607,Krishnappa Gowtham,3,12,2,0,10,9,PBKS,Sawai Mansingh Stadium,08-May-18
1608,Krishnappa Gowtham,4,18,2,0,10,12,SRH,Sawai Mansingh Stadium,29-Apr-18
1609,Piyush Chawla,4,18,1,0,10,24,RR,Sawai Mansingh Stadium,18-Apr-18
1610,Lungi Ngidi,3,14,2,0,10,9,DC,Arun Jaitley Stadium,18-May-18
1611,Ravindra Jadeja,4,19,1,0,10,24,DC,Arun Jaitley Stadium,18-May-18
1612,Mayank Markande,3,15,2,0,10,9,SRH,Wankhede Stadium,24-Apr-18
1613,Krishnappa Gowtham,3,15,2,0,10,9,KKR,Eden Gardens,23-May-18
1614,Sunil Narine,4,20,2,0,10,12,CSK,Eden Gardens,03-May-18
1615,Piyush Chawla,4,20,1,0,10,24,SRH,Eden Gardens,14-Apr-18
1616,Sandeep Sharma,4,20,1,0,10,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,07-May-18
1617,Lungi Ngidi,4,20,1,0,10,24,SRH,Wankhede Stadium,22-May-18
1618,Sandeep Lamichhane,4,21,1,0,10,24,CSK,Arun Jaitley Stadium,18-May-18
1619,Jasprit Bumrah,3,17,1,0,10,18,KKR,Eden Gardens,09-May-18
1620,Mohammed Siraj,3,17,1,0,10,18,PBKS,Holkar Cricket Stadium,14-May-18
1621,Andrew Tye,4,23,2,0,10,12,SRH,IS Bindra Stadium,19-Apr-18
1622,Amit Mishra,4,23,2,1,10,12,KKR,Arun Jaitley Stadium,27-Apr-18
1623,Sunil Narine,4,23,1,0,10,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,19-May-18
1624,Harshal Patel,4,23,1,0,10,24,CSK,Arun Jaitley Stadium,18-May-18
1625,Rahul Tewatia,3,18,3,0,10,6,KKR,Eden Gardens,16-Apr-18
1626,Mustafizur Rahman,4,24,3,0,10,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,12-Apr-18
1627,Axar Patel,4,25,1,0,10,24,RCB,M. Chinnaswamy Stadium,13-Apr-18
1628,Bhuvneshwar Kumar,4,25,1,0,10,24,PBKS,IS Bindra Stadium,19-Apr-18
1629,Sandeep Lamichhane,4,25,1,0,10,24,RCB,Arun Jaitley Stadium,12-May-18
1630,Rashid Khan,4,25,0,0,10,0,CSK,Maharashtra Cricket Association's International Stadium,13-May-18
1631,Deepak Chahar,4,25,0,0,10,0,SRH,Wankhede Stadium,27-May-18
1632,Mitchell McClenaghan,4,26,2,0,10,12,CSK,Maharashtra Cricket Association's International Stadium,28-Apr-18
1633,Deepak Chahar,4,20,3,0,20,8,KKR,Chidambaram,09-Apr-19
1634,Yuzvendra Chahal,4,6,1,1,18,24,CSK,Chidambaram,23-Mar-19
1635,Imran Tahir,4,9,3,1,18,8,RCB,Chidambaram,23-Mar-19
1636,Varun Aaron,4,20,2,1,17,12,KKR,Eden Gardens,25-Apr-19
1637,Deepak Chahar,4,26,3,1,17,8,MI,Rajiv Gandhi Intl. Cricket Stadium,12-May-19
1638,Mohammad Nabi,4,11,4,0,16,6,RCB,Rajiv Gandhi Intl. Cricket Stadium,31-Mar-19
1639,Shreyas Gopal,4,12,3,1,16,8,RCB,Sawai Mansingh Stadium,02-Apr-19
1640,Alzarri Joseph,3.4,12,6,1,16,3.66,SRH,Rajiv Gandhi Intl. Cricket Stadium,06-Apr-19
1641,Rashid Khan,4,15,2,1,16,12,DC,ACA-VDCA Stadium,08-May-19
1642,Navdeep Saini,4,24,0,0,16,0,CSK,Chidambaram,23-Mar-19
1643,Deepak Chahar,4,25,2,0,16,12,RCB,M. Chinnaswamy Stadium,21-Apr-19
1644,Mitchell Santner,4,13,2,0,15,12,MI,Chidambaram,26-Apr-19
1645,Jofra Archer,4,15,3,0,15,8,PBKS,IS Bindra Stadium,16-Apr-19
1646,Harbhajan Singh,4,15,2,0,15,12,KKR,Chidambaram,09-Apr-19
1647,Ravindra Jadeja,4,15,2,1,15,12,RCB,Chidambaram,23-Mar-19
1648,Axar Patel,4,16,0,0,15,0,CSK,Arun Jaitley Stadium,26-Mar-19
1649,Ravindra Jadeja,4,17,1,0,15,24,KKR,Chidambaram,09-Apr-19
1650,Bhuvneshwar Kumar,4,18,1,1,15,24,CSK,Chidambaram,23-Apr-19
1651,Rahul Chahar,4,19,3,0,15,8,DC,Arun Jaitley Stadium,18-Apr-19
1652,Moeen Ali,4,19,1,0,15,24,CSK,Chidambaram,23-Mar-19
1653,Imran Tahir,4,21,2,0,15,12,KKR,Chidambaram,09-Apr-19
1654,Jason Behrendorff,4,22,2,0,15,12,CSK,Wankhede Stadium,03-Apr-19
1655,Navdeep Saini,4,24,1,0,15,24,CSK,M. Chinnaswamy Stadium,21-Apr-19
