,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
674,Andrew McDonald,1,1,2,17,1,Jan-17,17,8.5,12,0,0
675,Marlon Samuels,2,1,4,34,1,Jan-34,34,8.5,24,0,0
676,Mohammad Shami,3,3,9,78,1,Jan-32,78,8.66,54,0,0
677,Ankit Rajpoot,2,2,4,35,1,Jan-25,35,8.75,24,0,0
678,Sarabjit Ladda,1,1,2,18,1,Jan-18,18,9,12,0,0
679,Abhimanyu Mithun,1,1,4,37,1,Jan-37,37,9.25,24,0,0
680,Shaun Tait,3,3,10,98,1,Jan-29,98,9.8,60,0,0
681,Ben Laughlin,2,2,7,71,1,Jan-25,71,10.14,42,0,0
682,Suresh Raina,18,2,2,23,1,01-Apr,23,11.5,12,0,0
683,Aaron Finch,14,3,4,49,1,01-Nov,49,12.25,24,0,0
684,Ishwar Pandey,2,2,4,50,1,Jan-17,50,12.5,24,0,0
685,Brad Hodge,17,1,1,3,0,0/3,0,3,0,0,0
686,Rohit Sharma,19,2,1.2,6,0,0/1,0,4.5,0,0,0
687,Raiphi Gomez,2,1,1,5,0,0/5,0,5,0,0,0
688,Jacob Oram,1,1,4,22,0,0/22,0,5.5,0,0,0
689,Dimitri Mascarenhas,1,1,4,25,0,0/25,0,6.25,0,0,0
690,Pawan Negi,1,1,4,28,0,0/28,0,7,0,0,0
691,Ryan ten Doeschate,4,3,3,24,0,0/3,0,8,0,0,0
692,David Hussey,12,4,11,91,0,0/14,0,8.27,0,0,0
693,Samuel Badree,1,1,4,34,0,0/34,0,8.5,0,0,0
694,Ankit Sharma,1,1,2,17,0,0/17,0,8.5,0,0,0
695,Yuzvendra Chahal,1,1,4,34,0,0/34,0,8.5,0,0,0
696,Sumit Narwal,2,1,2,17,0,0/17,0,8.5,0,0,0
697,Virender Sehwag,13,1,1,9,0,0/9,0,9,0,0,0
698,Dan Christian,2,2,6,55,0,0/13,0,9.16,0,0,0
699,Ajit Agarkar,4,4,10,92,0,0/4,0,9.2,0,0,0
700,Brad Hogg,1,1,3.2,31,0,0/31,0,9.3,0,0,0
701,Krishnakant Upadhyay,2,2,5,48,0,0/19,0,9.6,0,0,0
702,Andre Russell,3,3,7,68,0,0/13,0,9.71,0,0,0
703,Tillakaratne Dilshan,5,1,1,10,0,0/10,0,10,0,0,0
704,Glenn Maxwell,3,2,2,23,0,0/5,0,11.5,0,0,0
705,Ben Rohrer,8,1,1,12,0,0/12,0,12,0,0,0
706,Pradeep Sangwan,2,2,4,51,0,0/17,0,12.75,0,0,0
707,Rajagopal Sathish,9,3,4,51,0,0/10,0,12.75,0,0,0
708,Michael Neser,1,1,4,62,0,0/62,0,15.5,0,0,0
709,Mohit Sharma,16,16,53.5,452,23,Apr-14,19.65,8.39,14.04,1,0
710,Sunil Narine,16,16,64,407,21,Apr-20,19.38,6.35,18.28,2,0
711,Bhuvneshwar Kumar,14,14,53.1,354,20,Apr-14,17.7,6.65,15.95,1,0
712,Ravindra Jadeja,16,16,54.2,443,19,04-Dec,23.31,8.15,17.15,2,0
713,Sandeep Sharma,11,11,40.1,354,18,Mar-15,19.66,8.81,13.38,0,0
714,Axar Patel,17,17,66,405,17,Mar-24,23.82,6.13,23.29,0,0
715,Mitchell Johnson,14,14,53.3,444,17,Feb-19,26.11,8.29,18.88,0,0
716,Lasith Malinga,10,10,39.1,253,16,Apr-23,15.81,6.45,14.68,1,0
717,Ravichandran Ashwin,16,16,59.5,437,16,Mar-30,27.31,7.3,22.43,0,0
718,Varun Aaron,10,10,36.4,299,16,Mar-16,18.68,8.15,13.75,0,0
719,Pravin Tambe,13,13,49,356,15,Apr-20,23.73,7.26,19.6,1,0
720,Karn Sharma,14,14,50.4,376,15,Apr-38,25.06,7.42,20.26,1,0
721,Harbhajan Singh,14,14,55,356,14,Feb-13,25.42,6.47,23.57,0,0
722,Mitchell Starc,14,14,53.4,402,14,Feb-21,28.71,7.49,23,0,0
723,Piyush Chawla,11,11,39.3,303,14,Mar-19,21.64,7.67,16.92,0,0
724,Rishi Dhawan,13,13,47.2,365,13,Feb-14,28.07,7.71,21.84,0,0
725,Yuzvendra Chahal,14,14,55,386,12,Feb-17,32.16,7.01,27.5,0,0
726,Rajat Bhatia,12,12,38,283,12,Mar-23,23.58,7.44,19,0,0
727,Morne Morkel,12,12,48,367,12,Feb-20,30.58,7.64,24,0,0
728,Lakshmipathy Balaji,9,9,34,299,12,Apr-13,24.91,8.79,17,1,0
729,Shakib Al Hasan,13,13,50,334,11,Feb-22,30.36,6.68,27.27,0,0
730,Dale Steyn,14,14,56,431,11,Feb-20,39.18,7.69,30.54,0,0
731,Umesh Yadav,12,12,45,367,11,Mar-13,33.36,8.15,24.54,0,0
732,Karanveer Singh,5,5,20,164,11,Apr-54,14.9,8.2,10.9,1,0
733,James Faulkner,13,13,43,419,11,03-Nov,38.09,9.74,23.45,0,0
734,Kane Richardson,7,7,27,206,9,Feb-18,22.88,7.62,18,0,0
735,Imran Tahir,6,6,20.5,171,9,Mar-22,19,8.2,13.88,0,0
736,Jaydev Unadkat,9,9,31.1,270,9,Mar-32,30,8.66,20.77,0,0
737,Shahbaz Nadeem,11,11,38,311,8,Feb-35,38.87,8.18,28.5,0,0
738,Ben Hilfenhaus,8,8,28,246,8,Feb-32,30.75,8.78,21,0,0
739,Ashish Nehra,4,4,15,142,8,Mar-33,17.75,9.46,11.25,0,0
740,Shane Watson,13,9,21,165,7,Mar-13,23.57,7.85,18,0,0
741,Mohammad Shami,12,12,44,369,7,Jan-22,52.71,8.38,37.71,0,0
742,Vinay Kumar,9,9,32,281,7,Feb-26,40.14,8.78,27.42,0,0
743,Amit Mishra,10,10,37.3,340,7,Feb-23,48.57,9.06,32.14,0,0
744,Parvinder Awana,7,7,23.3,245,7,Feb-15,35,10.42,20.14,0,0
745,Wayne Parnell,8,8,30.1,223,6,Feb-21,37.16,7.39,30.16,0,0
746,Ishwar Pandey,13,12,42,318,6,Feb-23,53,7.57,42,0,0
747,Shreyas Gopal,4,4,14,113,6,Feb-25,18.83,8.07,14,0,0
748,Dhawal Kulkarni,8,8,27,221,6,Feb-23,36.83,8.18,27,0,0
749,Zaheer Khan,6,6,22.2,146,5,Feb-21,29.2,6.53,26.8,0,0
750,Jasprit Bumrah,11,11,39.4,301,5,Feb-22,60.2,7.58,47.6,0,0
751,Yuvraj Singh,14,10,22.4,187,5,Apr-35,37.4,8.25,27.2,1,0
752,Ashok Dinda,9,9,31,270,5,Jan-14,54,8.7,37.2,0,0
753,Ankit Sharma,3,2,8,43,4,Feb-20,10.75,5.37,12,0,0
754,Kevon Cooper,5,5,18,134,4,Feb-38,33.5,7.44,27,0,0
755,Albie Morkel,7,6,16,126,4,Jan-18,31.5,7.87,24,0,0
756,Jacques Kallis,8,8,22,186,4,Jan-15,46.5,8.45,33,0,0
757,Irfan Pathan,10,10,23.4,205,4,02-Oct,51.25,8.66,35.5,0,0
758,Dwayne Smith,16,5,10,95,4,01-Nov,23.75,9.5,15,0,0
759,Moises Henriques,4,4,10,96,4,Feb-26,24,9.6,15,0,0
760,Corey Anderson,12,9,18,184,4,Feb-18,46,10.22,27,0,0
761,Harshal Patel,3,3,11,113,4,Feb-56,28.25,10.27,16.5,0,0
762,Beuran Hendricks,3,3,12,126,4,Mar-36,31.5,10.5,18,0,0
763,Praveen Kumar,3,3,12,78,3,Feb-31,26,6.5,24,0,0
764,Stuart Binny,13,8,9,64,3,01-Jan,21.33,7.11,18,0,0
765,JP Duminy,14,11,33,240,3,Feb-27,80,7.27,66,0,0
766,Shivam Sharma,4,4,16,121,3,Feb-26,40.33,7.56,32,0,0
767,Muttiah Muralitharan,5,5,16,124,3,Feb-25,41.33,7.75,32,0,0
768,Abu Nechim,4,4,14.2,113,3,Jan-18,37.66,7.88,28.66,0,0
769,Ishant Sharma,3,3,11,101,3,Feb-37,33.66,9.18,22,0,0
770,Darren Sammy,10,8,14,157,3,Jan-20,52.33,11.21,28,0,0
771,Krishmar Santokie,2,2,8,90,3,Feb-50,30,11.25,16,0,0
772,Rahul Tewatia,3,3,9,59,2,Jan-17,29.5,6.55,27,0,0
773,Nathan Coulter-Nile,2,1,4,27,2,Feb-27,13.5,6.75,12,0,0
774,Samuel Badree,4,4,14,97,2,Jan-19,48.5,6.92,42,0,0
775,Marchant de Lange,1,1,4,32,2,Feb-32,16,8,12,0,0
776,Siddarth Kaul,5,5,13,126,2,01-May,63,9.69,39,0,0
777,Kieron Pollard,15,12,25,262,2,Jan-33,131,10.48,75,0,0
778,Rahul Shukla,3,3,9,98,2,Jan-13,49,10.88,27,0,0
779,David Hussey,5,1,2.5,38,2,Feb-38,19,13.41,8.5,0,0
780,Ravi Rampaul,2,2,6,37,1,Jan-21,37,6.16,36,0,0
781,Ryan ten Doeschate,10,4,5,35,1,01-Jul,35,7,30,0,0
782,Pat Cummins,1,1,4,29,1,Jan-29,29,7.25,24,0,0
783,Suresh Raina,16,8,18,134,1,Jan-17,134,7.44,108,0,0
784,Ben Cutting,1,1,4,31,1,Jan-31,31,7.75,24,0,0
785,Rohit Sharma,15,2,3,26,1,Jan-20,26,8.66,18,0,0
786,Laxmi Ratan Shukla,6,5,9.2,83,1,Jan-31,83,8.89,56,0,0
787,Parveez Rasool,3,3,9,83,1,Jan-26,83,9.22,54,0,0
788,John Hastings,1,1,3,29,1,Jan-29,29,9.66,18,0,0
789,Vikramjeet Malik,1,1,3,29,1,Jan-29,29,9.66,18,0,0
790,Jimmy Neesham,4,4,9,91,1,Jan-29,91,10.11,54,0,0
791,Andre Russell,2,2,5,52,1,Jan-25,52,10.4,30,0,0
792,Rahul Sharma,2,2,6,65,1,Jan-33,65,10.83,36,0,0
793,Lendl Simmons,8,1,3,34,1,Jan-34,34,11.33,18,0,0
794,Murali Kartik,2,2,8,91,1,Jan-51,91,11.37,48,0,0
795,Pawan Suyal,1,1,3,35,1,Jan-35,35,11.66,18,0,0
796,Jason Holder,1,1,3,35,1,Jan-35,35,11.66,18,0,0
797,Glenn Maxwell,16,7,11,132,1,Jan-21,132,12,66,0,0
798,Tim Southee,3,3,10,76,0,0/16,0,7.6,0,0,0
799,Suryakumar Yadav,16,1,1,8,0,0/8,0,8,0,0,0
800,Sachin Rana,9,2,2,16,0,0/7,0,8,0,0,0
801,Venugopal Rao,7,2,2,16,0,0/7,0,8,0,0,0
802,Iqbal Abdulla,1,1,2,17,0,0/17,0,8.5,0,0,0
803,Yusuf Pathan,15,1,1,10,0,0/10,0,10,0,0,0
804,Pawan Negi,2,2,7,75,0,0/37,0,10.71,0,0,0
805,Shadab Jakati,1,1,3.4,41,0,0/41,0,11.18,0,0,0
806,Murali Vijay,11,1,1,13,0,0/13,0,13,0,0,0
807,Manoj Tiwary,8,1,2,28,0,0/28,0,14,0,0,0
808,Vijay Shankar,1,1,1,19,0,0/19,0,19,0,0,0
809,Dwayne Bravo,17,16,52.2,426,26,Mar-22,16.38,8.14,12.07,0,0
810,Lasith Malinga,15,15,60,444,24,Apr-23,18.5,7.4,15,1,0
811,Yuzvendra Chahal,15,14,46.5,415,23,Mar-40,18.04,8.86,12.21,0,0
812,Ashish Nehra,16,16,62,449,22,04-Oct,20.4,7.24,16.9,1,0
813,Mitchell Starc,13,12,43,291,20,Apr-15,14.55,6.76,12.9,1,0
814,Harbhajan Singh,15,15,57,446,18,Mar-27,24.77,7.82,19,0,0
815,Bhuvneshwar Kumar,14,14,51.4,407,18,Mar-26,22.61,7.87,17.22,0,0
816,Mitchell McClenaghan,12,12,47,386,18,Mar-16,21.44,8.21,15.66,0,0
817,Harshal Patel,15,14,43.5,328,17,02-Dec,19.29,7.48,15.47,0,0
818,David Wiese,14,13,42.2,353,16,Apr-33,22.06,8.33,15.87,1,0
819,Nathan Coulter-Nile,11,11,42.3,321,15,Apr-20,21.4,7.55,17,1,0
820,Imran Tahir,10,10,35.3,314,15,Apr-28,20.93,8.84,14.2,1,0
821,Anureet Singh,14,14,51.4,465,15,Mar-23,31,9,20.66,0,0
822,Andre Russell,13,13,40.4,324,14,Mar-32,23.14,7.96,17.42,0,0
823,Mohit Sharma,16,16,57,481,14,Mar-25,34.35,8.43,24.42,0,0
824,Sandeep Sharma,14,14,50,350,13,Apr-25,26.92,7,23.07,1,0
825,Chris Morris,11,11,42,311,13,Apr-23,23.92,7.4,19.38,1,0
826,Dhawal Kulkarni,11,11,35,277,13,02-Sep,21.3,7.91,16.15,0,0
827,Axar Patel,14,14,46.4,392,13,02-Nov,30.15,8.4,21.53,0,0
828,Moises Henriques,9,9,25,158,11,Mar-16,14.36,6.32,13.63,0,0
829,Ishwar Pandey,10,10,31,223,11,Feb-27,20.27,7.19,16.9,0,0
830,Piyush Chawla,13,13,35,269,11,Apr-32,24.45,7.68,19.09,1,0
831,Ravindra Jadeja,17,15,42.4,330,11,04-Nov,30,7.73,23.27,1,0
832,Ravichandran Ashwin,14,13,39,228,10,02-May,22.8,5.84,23.4,0,0
833,Morne Morkel,7,7,28,206,10,Feb-18,20.6,7.35,16.8,0,0
834,Karn Sharma,14,14,39.5,332,10,02-Dec,33.2,8.33,23.9,0,0
835,Jagadeesha Suchith,13,12,39,337,10,Feb-14,33.7,8.64,23.4,0,0
836,Umesh Yadav,12,12,42,382,10,Mar-33,38.2,9.09,25.2,0,0
837,Brad Hogg,6,6,21,144,9,Apr-29,16,6.85,14,1,0
838,Amit Mishra,12,12,40.1,310,9,Feb-32,34.44,7.71,26.77,0,0
839,Trent Boult,7,7,28,236,9,Mar-19,26.22,8.42,18.66,0,0
840,Mitchell Johnson,9,9,35.5,336,9,Feb-23,37.33,9.37,23.88,0,0
841,Sreenath Aravind,5,5,18,132,8,Apr-27,16.5,7.33,13.5,1,0
842,JP Duminy,14,9,17,126,8,Apr-17,15.75,7.41,12.75,1,0
843,James Faulkner,13,13,45,426,8,Mar-26,53.25,9.46,33.75,0,0
844,Zaheer Khan,7,7,24.1,156,7,02-Sep,22.28,6.45,20.71,0,0
845,Sunil Narine,8,8,32,234,7,Apr-19,33.42,7.31,27.42,1,0
846,Pravin Tambe,10,10,34,266,7,Feb-21,38,7.82,29.14,0,0
847,Angelo Mathews,11,10,30,246,7,Feb-15,35.14,8.2,25.71,0,0
848,Vinay Kumar,13,13,43.3,368,7,Feb-26,52.57,8.45,37.28,0,0
849,Praveen Kumar,12,12,36,329,7,Feb-35,47,9.13,30.85,0,0
850,Ravi Bopara,9,7,20,160,6,Feb-18,26.66,8,20,0,0
851,Pawan Negi,10,10,30,252,6,Feb-25,42,8.4,30,0,0
852,Tim Southee,7,7,28,247,6,Feb-32,41.16,8.82,28,0,0
853,Shane Watson,10,10,29,269,6,Feb-36,44.83,9.27,29,0,0
854,Beuran Hendricks,4,4,13,109,5,Feb-40,21.8,8.38,15.6,0,0
855,Domnic Joseph,6,6,14,101,4,Feb-18,25.25,7.21,21,0,0
856,Stuart Binny,13,10,19,140,4,Feb-27,35,7.36,28.5,0,0
857,Iqbal Abdulla,5,5,19,150,4,Feb-36,37.5,7.89,28.5,0,0
858,Shakib Al Hasan,4,4,14,123,4,Feb-22,30.75,8.78,21,0,0
859,Bipul Sharma,4,3,7,50,3,Feb-13,16.66,7.14,14,0,0
860,Gurkeerat Mann Singh,5,3,9,66,3,Feb-17,22,7.33,18,0,0
861,Ankit Sharma,4,4,14,114,3,Jan-26,38,8.14,28,0,0
862,Ashish Reddy,6,4,6,50,3,01-Nov,16.66,8.33,12,0,0
863,Dale Steyn,6,6,19,170,3,Feb-38,56.66,8.94,38,0,0
864,Albie Morkel,4,4,12,109,3,Feb-21,36.33,9.08,24,0,0
865,Kieron Pollard,16,8,12.4,120,3,01-Jun,40,9.47,25.33,0,0
866,Varun Aaron,6,5,17.2,177,3,Feb-24,59,10.21,34.66,0,0
867,Jasprit Bumrah,4,4,15,184,3,Jan-38,61.33,12.26,30,0,0
868,Jayant Yadav,3,3,7,29,2,01-Aug,14.5,4.14,21,0,0
869,Suresh Raina,17,5,12,93,2,Jan-29,46.5,7.75,36,0,0
870,Glenn Maxwell,11,7,10,97,2,01-May,48.5,9.7,30,0,0
871,Yusuf Pathan,13,5,10,97,2,Feb-40,48.5,9.7,30,0,0
872,Parveez Rasool,2,2,5,31,1,Jan-20,31,6.2,30,0,0
873,Yuvraj Singh,14,6,9,72,1,Jan-14,72,8,54,0,0
874,Johan Botha,4,4,10,81,1,Jan-32,81,8.1,60,0,0
