,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1014,Jaydev Unadkat,1,1,3,49,0,0/49,0,16.33,0,0,0
1015,Bhuvneshwar Kumar,14,14,52.2,369,26,May-19,14.19,7.05,12.07,0,1
1016,Jaydev Unadkat,12,12,45.5,322,24,May-30,13.41,7.02,11.45,0,1
1017,Jasprit Bumrah,16,16,59.2,439,20,03-Jul,21.95,7.39,17.8,0,0
1018,Mitchell McClenaghan,14,14,54,507,19,Mar-24,26.68,9.38,17.05,0,0
1019,Imran Tahir,12,12,47,369,18,Mar-18,20.5,7.85,15.66,0,0
1020,Rashid Khan,14,14,54,358,17,Mar-19,21.05,6.62,19.05,0,0
1021,Sandeep Sharma,13,13,48,398,17,Apr-20,23.41,8.29,16.94,1,0
1022,Umesh Yadav,14,14,48.3,410,17,Apr-33,24.11,8.45,17.11,1,0
1023,Chris Woakes,13,13,44,386,17,03-Jun,22.7,8.77,15.52,0,0
1024,Pawan Negi,12,12,32.1,197,16,03-Oct,12.31,6.12,12.06,0,0
1025,Siddarth Kaul,10,10,35.4,300,16,Apr-29,18.75,8.41,13.37,1,0
1026,Axar Patel,14,14,48,362,15,03-Nov,24.13,7.54,19.2,0,0
1027,Nathan Coulter-Nile,8,8,28.2,228,15,Mar-20,15.2,8.04,11.33,0,0
1028,Pat Cummins,12,12,46.1,373,15,Feb-20,24.86,8.07,18.46,0,0
1029,Yuzvendra Chahal,13,13,43.3,333,14,Mar-16,23.78,7.65,18.64,0,0
1030,Karn Sharma,9,9,30.4,214,13,Apr-16,16.46,6.97,14.15,1,0
1031,Mohit Sharma,14,14,45.4,410,13,Feb-24,31.53,8.97,21.07,0,0
1032,Andrew Tye,6,6,21,141,12,May-17,11.75,6.71,10.5,0,1
1033,Ben Stokes,12,12,44,316,12,Mar-18,26.33,7.18,22,0,0
1034,Chris Morris,9,9,31,240,12,Apr-26,20,7.74,15.5,1,0
1035,Kuldeep Yadav,12,11,41,340,12,Feb-25,28.33,8.29,20.5,0,0
