,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1886,Krunal Pandya,3,16,0,8,5.33,0,CSK,Sharjah Cricket Stadium,23-Oct-20
1887,Rahul Chahar,4,22,2,13,5.5,12,CSK,Sharjah Cricket Stadium,23-Oct-20
1888,Anrich Nortje,4,22,2,13,5.5,12,RCB,Dubai International Stadium,05-Oct-20
1889,Ravichandran Ashwin,4,22,2,9,5.5,12,RR,Sharjah Cricket Stadium,09-Oct-20
1890,Krunal Pandya,4,22,1,11,5.5,24,DC,Dubai International Stadium,05-Nov-20
1891,Ravi Bishnoi,4,22,1,9,5.5,24,DC,Dubai International Stadium,20-Sep-20
1892,Jasprit Bumrah,4,22,1,12,5.5,24,KKR,Zayed Cricket Stadium,16-Oct-20
1893,Rashid Khan,4,22,1,11,5.5,24,MI,Sharjah Cricket Stadium,04-Oct-20
1894,Sunil Narine,4,22,1,8,5.5,24,MI,Zayed Cricket Stadium,23-Sep-20
1895,Chris Morris,4,22,0,12,5.5,0,PBKS,Sharjah Cricket Stadium,15-Oct-20
1896,Rashid Khan,4,22,0,11,5.5,0,RCB,Zayed Cricket Stadium,06-Nov-20
1897,Kamlesh Nagarkoti,2,11,0,7,5.5,0,DC,Zayed Cricket Stadium,24-Oct-20
1898,Sheldon Cottrell,3,17,2,12,5.66,9,RCB,Dubai International Stadium,24-Sep-20
1899,Navdeep Saini,3,17,1,8,5.66,18,KKR,Sharjah Cricket Stadium,12-Oct-20
1900,Ravindra Jadeja,3,17,1,5,5.66,18,PBKS,Zayed Cricket Stadium,01-Nov-20
1901,Deepak Chahar,3,17,0,9,5.66,0,PBKS,Dubai International Stadium,04-Oct-20
1902,Murugan Ashwin,4,23,2,7,5.75,12,RCB,Sharjah Cricket Stadium,15-Oct-20
1903,Mitchell Santner,4,23,1,7,5.75,24,RCB,Dubai International Stadium,25-Oct-20
1904,Varun Chakaravarthy,4,23,1,10,5.75,24,MI,Zayed Cricket Stadium,16-Oct-20
1905,Amit Mishra,4,23,0,6,5.75,0,CSK,Dubai International Stadium,25-Sep-20
1906,Mohammad Nabi,4,23,0,5,5.75,0,KKR,Zayed Cricket Stadium,26-Sep-20
1907,Sunil Narine,4,23,0,5,5.75,0,CSK,Dubai International Stadium,29-Oct-20
1908,Axar Patel,4,23,0,5,5.75,0,CSK,Sharjah Cricket Stadium,17-Oct-20
1909,Krunal Pandya,4,23,0,11,5.75,0,KKR,Zayed Cricket Stadium,16-Oct-20
1910,T Natarajan,4,23,0,10,5.75,0,PBKS,Dubai International Stadium,24-Oct-20
1911,Kagiso Rabada,4,24,4,9,6,6,RCB,Dubai International Stadium,05-Oct-20
1912,Arshdeep Singh,3.5,23,3,9,6,7.66,SRH,Dubai International Stadium,24-Oct-20
1913,Yuzvendra Chahal,4,24,3,10,6,8,RR,Zayed Cricket Stadium,03-Oct-20
1914,Jofra Archer,4,24,3,11,6,8,DC,Sharjah Cricket Stadium,09-Oct-20
1915,Jasprit Bumrah,4,24,3,12,6,8,PBKS,Dubai International Stadium,18-Oct-20
1916,Yuzvendra Chahal,3.1,19,2,8,6,9.5,SRH,Sharjah Cricket Stadium,31-Oct-20
1917,Sheldon Cottrell,4,24,2,13,6,12,DC,Dubai International Stadium,20-Sep-20
1918,James Pattinson,3.1,19,2,9,6,9.5,RR,Zayed Cricket Stadium,06-Oct-20
1919,Rashid Khan,4,24,1,13,6,24,RCB,Sharjah Cricket Stadium,31-Oct-20
1920,Ravi Bishnoi,2,12,1,5,6,12,MI,Dubai International Stadium,18-Oct-20
1921,Rahul Chahar,4,24,1,10,6,24,DC,Dubai International Stadium,31-Oct-20
1922,Washington Sundar,4,24,1,7,6,24,DC,Zayed Cricket Stadium,02-Nov-20
1923,Imran Tahir,4,24,1,6,6,24,PBKS,Zayed Cricket Stadium,01-Nov-20
1924,Sam Curran,3,18,1,11,6,18,SRH,Dubai International Stadium,13-Oct-20
1925,Yuzvendra Chahal,4,24,1,7,6,24,SRH,Zayed Cricket Stadium,06-Nov-20
1926,Kamlesh Nagarkoti,4,24,1,12,6,24,RR,Dubai International Stadium,01-Nov-20
1927,Pat Cummins,3,18,0,9,6,0,RCB,Zayed Cricket Stadium,21-Oct-20
1928,Kuldeep Yadav,3,18,0,5,6,0,SRH,Zayed Cricket Stadium,18-Oct-20
1929,Krunal Pandya,2,12,0,5,6,0,PBKS,Dubai International Stadium,18-Oct-20
1930,Jayant Yadav,3,18,0,6,6,0,DC,Dubai International Stadium,31-Oct-20
1931,Glenn Maxwell,4,24,0,9,6,0,MI,Dubai International Stadium,18-Oct-20
1932,Rahul Tewatia,4,25,3,11,6.25,8,KKR,Dubai International Stadium,01-Nov-20
1933,Jason Holder,4,25,3,10,6.25,8,RCB,Zayed Cricket Stadium,06-Nov-20
1934,James Pattinson,4,25,2,13,6.25,12,KKR,Zayed Cricket Stadium,23-Sep-20
1935,Jason Holder,4,25,2,10,6.25,12,MI,Sharjah Cricket Stadium,03-Nov-20
1936,Karn Sharma,4,25,2,5,6.25,12,KKR,Zayed Cricket Stadium,07-Oct-20
1937,Chris Jordan,4,25,2,11,6.25,12,KKR,Sharjah Cricket Stadium,26-Oct-20
1938,Navdeep Saini,4,25,2,9,6.25,12,SRH,Dubai International Stadium,21-Sep-20
1939,Bhuvneshwar Kumar,4,25,2,13,6.25,12,DC,Zayed Cricket Stadium,29-Sep-20
1940,Varun Chakaravarthy,4,25,2,7,6.25,12,RR,Dubai International Stadium,30-Sep-20
1941,Jasprit Bumrah,4,25,2,13,6.25,12,CSK,Sharjah Cricket Stadium,23-Oct-20
1942,Rashid Khan,4,25,2,10,6.25,12,RR,Dubai International Stadium,11-Oct-20
1943,Yuzvendra Chahal,4,25,1,8,6.25,24,PBKS,Dubai International Stadium,24-Sep-20
1944,Ravi Bishnoi,4,25,1,7,6.25,24,KKR,Zayed Cricket Stadium,10-Oct-20
1945,Nathan Coulter-Nile,4,25,1,14,6.25,24,CSK,Sharjah Cricket Stadium,23-Oct-20
1946,Anrich Nortje,4,25,1,13,6.25,24,RR,Sharjah Cricket Stadium,09-Oct-20
1947,Rashid Khan,4,25,1,8,6.25,24,KKR,Zayed Cricket Stadium,26-Sep-20
1948,Jofra Archer,4,25,1,14,6.25,24,SRH,Dubai International Stadium,11-Oct-20
1949,Arshdeep Singh,4,25,1,15,6.25,24,KKR,Zayed Cricket Stadium,10-Oct-20
1950,Moeen Ali,3,7,3,11,2.33,6,RR,Wankhede Stadium,19-Apr-21
1951,Yuzvendra Chahal,4,11,3,16,2.75,8,MI,Dubai International Stadium,26-Sep-21
1952,Shardul Thakur,4,11,1,17,2.75,24,RCB,Wankhede Stadium,25-Apr-21
1953,Andre Russell,3,9,3,10,3,6,RCB,Zayed Cricket Stadium,20-Sep-21
1954,Moises Henriques,4,12,3,13,3,8,RCB,Sharjah Cricket Stadium,03-Oct-21
1955,Jimmy Neesham,4,12,3,13,3,8,RR,Sharjah Cricket Stadium,05-Oct-21
1956,Anrich Nortje,4,12,2,14,3,12,SRH,Dubai International Stadium,22-Sep-21
1957,Sunil Narine,4,12,0,12,3,0,SRH,Dubai International Stadium,03-Oct-21
1958,Deepak Chahar,4,13,4,18,3.25,6,PBKS,Wankhede Stadium,16-Apr-21
1959,Varun Chakaravarthy,4,13,3,15,3.25,8,RCB,Zayed Cricket Stadium,20-Sep-21
1960,Ravindra Jadeja,4,13,3,15,3.25,8,RCB,Wankhede Stadium,25-Apr-21
1961,Shardul Thakur,4,13,2,12,3.25,12,DC,Dubai International Stadium,04-Oct-21
1962,Krunal Pandya,4,13,1,13,3.25,24,KKR,Chidambaram,13-Apr-21
1963,Shivam Mavi,4,13,1,15,3.25,24,PBKS,Narendra Modi Stadium,26-Apr-21
1964,Nathan Coulter-Nile,4,14,4,16,3.5,6,RR,Sharjah Cricket Stadium,05-Oct-21
1965,Shahbaz Ahmed,2,7,3,6,3.5,4,SRH,Chidambaram,14-Apr-21
1966,Jasprit Bumrah,4,14,2,18,3.5,12,RR,Sharjah Cricket Stadium,05-Oct-21
1967,Mohammad Shami,4,14,2,17,3.5,12,SRH,Sharjah Cricket Stadium,25-Sep-21
