,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
309,Ravichandran Ashwin,4,14,1,15,3.5,24,DEC,DY Patil Stadium,22-Apr-10
310,Yuvraj Singh,4,14,1,11,3.5,24,DC,Arun Jaitley Stadium,11-Apr-10
311,Dwayne Bravo,2,7,0,6,3.5,0,KKR,Eden Gardens,19-Apr-10
312,Dale Steyn,3,11,1,15,3.66,18,DEC,DY Patil Stadium,24-Apr-10
313,Yuvraj Singh,3,11,0,7,3.66,0,DC,IS Bindra Stadium,13-Mar-10
314,Doug Bollinger,4,15,2,17,3.75,12,KKR,Chidambaram,13-Apr-10
315,Doug Bollinger,4,15,2,14,3.75,12,RR,Chidambaram,03-Apr-10
316,Amit Mishra,4,15,1,11,3.75,24,PBKS,Arun Jaitley Stadium,11-Apr-10
317,Dale Steyn,4,15,1,16,3.75,24,RR,Sawai Mansingh Stadium,14-Apr-10
318,Anil Kumble,4,15,1,11,3.75,24,CSK,M. Chinnaswamy Stadium,23-Mar-10
319,Shane Warne,4,15,1,11,3.75,24,DEC,Narendra Modi Stadium,26-Mar-10
320,Kieron Pollard,4,15,0,10,3.75,0,DC,Brabourne Stadium,13-Apr-10
321,Lakshmipathy Balaji,2.2,9,2,8,3.85,7,KKR,Eden Gardens,16-Mar-10
322,JM Kemp,3,12,3,8,4,6,KKR,Eden Gardens,16-Mar-10
323,Muttiah Muralitharan,4,16,3,15,4,8,PBKS,Chidambaram,21-Mar-10
324,Ravichandran Ashwin,4,16,3,15,4,8,KKR,Chidambaram,13-Apr-10
325,Pragyan Ojha,4,16,2,11,4,12,DC,Arun Jaitley Stadium,18-Apr-10
326,Piyush Chawla,4,16,2,14,4,12,DC,Arun Jaitley Stadium,11-Apr-10
327,Muttiah Muralitharan,4,16,1,12,4,24,KKR,Eden Gardens,16-Mar-10
328,Muttiah Muralitharan,4,16,1,13,4,24,DEC,DY Patil Stadium,22-Apr-10
329,Praveen Kumar,4,16,1,12,4,24,KKR,Eden Gardens,14-Mar-10
330,Amit Mishra,3,12,1,10,4,18,DEC,Barabati Stadium,21-Mar-10
331,Anil Kumble,4,16,1,11,4,24,CSK,Chidambaram,31-Mar-10
332,Ashish Nehra,2,8,0,6,4,0,PBKS,Arun Jaitley Stadium,11-Apr-10
333,Andrew Symonds,2,8,0,5,4,0,DC,Arun Jaitley Stadium,18-Apr-10
334,Kieron Pollard,4,17,3,10,4.25,8,RCB,DY Patil Stadium,21-Apr-10
335,RP Singh,4,17,3,13,4.25,8,RR,Vidarbha Cricket Association Stadium,05-Apr-10
336,Zaheer Khan,4,17,2,14,4.25,12,RR,Sawai Mansingh Stadium,11-Apr-10
337,Sanath Jayasuriya,4,17,2,16,4.25,12,DC,Arun Jaitley Stadium,17-Mar-10
338,Shadab Jakati,4,17,2,14,4.25,12,RCB,Chidambaram,31-Mar-10
339,Juan Theron,4,17,2,12,4.25,12,CSK,Chidambaram,21-Mar-10
340,Harbhajan Singh,4,17,1,7,4.25,24,KKR,Brabourne Stadium,22-Mar-10
341,Nayan Doshi,4,17,1,14,4.25,24,DEC,DY Patil Stadium,24-Apr-10
342,Muttiah Muralitharan,4,17,1,9,4.25,24,MI,DY Patil Stadium,25-Apr-10
343,Anil Kumble,4,17,1,14,4.25,24,KKR,M. Chinnaswamy Stadium,10-Apr-10
344,MF Maharoof,3,13,2,13,4.33,9,RR,Arun Jaitley Stadium,31-Mar-10
345,Praveen Kumar,4,18,3,15,4.5,8,RR,M. Chinnaswamy Stadium,18-Mar-10
346,Dale Steyn,4,18,3,13,4.5,8,DEC,Vidarbha Cricket Association Stadium,12-Apr-10
347,Ryan Harris,4,18,3,11,4.5,8,CSK,Vidarbha Cricket Association Stadium,10-Apr-10
348,Virender Sehwag,4,18,2,13,4.5,12,CSK,Chidambaram,15-Apr-10
349,Yusuf Pathan,2,9,2,3,4.5,6,PBKS,IS Bindra Stadium,24-Mar-10
350,Praveen Kumar,4,18,2,13,4.5,12,DEC,DY Patil Stadium,24-Apr-10
351,Ali Murtaza,4,18,2,5,4.5,12,DC,Brabourne Stadium,13-Apr-10
352,Zaheer Khan,4,18,1,11,4.5,24,RCB,Brabourne Stadium,20-Mar-10
353,Anil Kumble,4,18,1,11,4.5,24,MI,Brabourne Stadium,20-Mar-10
354,Dirk Nannes,4,18,1,12,4.5,24,CSK,Arun Jaitley Stadium,19-Mar-10
355,Andrew Symonds,4,18,1,10,4.5,24,CSK,DY Patil Stadium,22-Apr-10
356,Amit Mishra,4,18,1,10,4.5,24,KKR,Arun Jaitley Stadium,29-Mar-10
357,Andrew Symonds,2,9,0,7,4.5,0,RR,Narendra Modi Stadium,26-Mar-10
358,Adam Voges,2,9,0,3,4.5,0,DEC,Narendra Modi Stadium,26-Mar-10
359,Dale Steyn,4,18,0,10,4.5,0,MI,M. Chinnaswamy Stadium,17-Apr-10
360,Siddharth Trivedi,4,18,0,10,4.5,0,CSK,Narendra Modi Stadium,28-Mar-10
361,Dale Steyn,4,18,0,14,4.5,0,RR,M. Chinnaswamy Stadium,18-Mar-10
362,Anil Kumble,3.3,16,4,13,4.57,5.25,DEC,DY Patil Stadium,24-Apr-10
363,Shadab Jakati,3,14,1,9,4.66,18,DC,Chidambaram,15-Apr-10
364,Ryan Harris,3,14,0,12,4.66,0,RCB,DY Patil Stadium,24-Apr-10
365,Ashok Dinda,3.1,15,2,10,4.73,9.5,RCB,M. Chinnaswamy Stadium,10-Apr-10
366,Dirk Nannes,3.1,15,1,12,4.73,19,KKR,Arun Jaitley Stadium,29-Mar-10
367,Angelo Mathews,4,19,4,10,4.75,6,RCB,Eden Gardens,14-Mar-10
368,Paul Collingwood,4,19,2,11,4.75,12,PBKS,Arun Jaitley Stadium,11-Apr-10
369,Chaminda Vaas,4,19,1,9,4.75,24,DC,Arun Jaitley Stadium,18-Apr-10
370,Jacques Kallis,4,19,1,11,4.75,24,RR,Sawai Mansingh Stadium,14-Apr-10
371,Tillakaratne Dilshan,4,19,1,11,4.75,24,CSK,Chidambaram,15-Apr-10
372,Shane Watson,4,19,1,13,4.75,24,PBKS,Sawai Mansingh Stadium,07-Apr-10
373,Anil Kumble,4,19,0,14,4.75,0,KKR,Eden Gardens,14-Mar-10
374,Sudeep Tyagi,4,19,0,13,4.75,0,RCB,M. Chinnaswamy Stadium,23-Mar-10
375,Pragyan Ojha,4,19,0,12,4.75,0,KKR,DY Patil Stadium,12-Mar-10
376,Suresh Raina,2.3,12,1,5,4.8,15,MI,Chidambaram,06-Apr-10
377,Murali Kartik,4,20,2,9,5,12,MI,Eden Gardens,19-Apr-10
378,Jacques Kallis,4,20,2,9,5,12,RR,M. Chinnaswamy Stadium,18-Mar-10
379,Zaheer Khan,2,10,2,5,5,6,DEC,Brabourne Stadium,03-Apr-10
380,Albie Morkel,3,15,1,9,5,18,DEC,DY Patil Stadium,22-Apr-10
381,Ravichandran Ashwin,4,20,1,11,5,24,PBKS,HPCA Stadium,18-Apr-10
382,Dale Steyn,4,20,1,8,5,24,CSK,Chidambaram,31-Mar-10
383,Pradeep Sangwan,4,20,1,13,5,24,RR,Narendra Modi Stadium,15-Mar-10
384,Shane Bond,4,20,1,15,5,24,RR,Eden Gardens,17-Apr-10
385,Ashok Dinda,4,20,1,11,5,24,MI,Eden Gardens,19-Apr-10
386,Kevin Pietersen,4,20,1,8,5,24,MI,DY Patil Stadium,21-Apr-10
387,JP Duminy,3,15,1,8,5,18,PBKS,IS Bindra Stadium,09-Apr-10
388,Suresh Raina,3,15,0,9,5,0,DC,Chidambaram,15-Apr-10
389,Shane Warne,4,21,4,13,5.25,6,DEC,Vidarbha Cricket Association Stadium,05-Apr-10
390,Chaminda Vaas,4,21,3,13,5.25,8,CSK,Chidambaram,14-Mar-10
391,Andrew Symonds,4,21,3,9,5.25,8,DC,Barabati Stadium,21-Mar-10
392,RP Singh,4,21,2,10,5.25,12,RCB,Vidarbha Cricket Association Stadium,12-Apr-10
393,Ashok Dinda,4,21,2,12,5.25,12,DC,Eden Gardens,07-Apr-10
394,Yuvraj Singh,4,21,2,11,5.25,12,DEC,Barabati Stadium,19-Mar-10
395,Ryan McLaren,4,21,1,8,5.25,24,RCB,M. Chinnaswamy Stadium,17-Apr-10
396,Praveen Kumar,4,21,1,11,5.25,24,CSK,M. Chinnaswamy Stadium,23-Mar-10
397,Harmeet Singh Bansal,4,21,1,10,5.25,24,CSK,Vidarbha Cricket Association Stadium,10-Apr-10
398,Chaminda Vaas,4,21,1,12,5.25,24,DC,Barabati Stadium,21-Mar-10
399,Harbhajan Singh,4,21,1,8,5.25,24,RR,Sawai Mansingh Stadium,11-Apr-10
400,Murali Kartik,4,21,1,8,5.25,24,MI,Brabourne Stadium,22-Mar-10
401,Murali Kartik,4,21,0,9,5.25,0,CSK,Eden Gardens,16-Mar-10
402,Muttiah Muralitharan,4,21,0,9,5.25,0,RCB,Chidambaram,31-Mar-10
403,Harbhajan Singh,3,16,2,9,5.33,9,DEC,Brabourne Stadium,03-Apr-10
404,Irfan Pathan,3,16,1,7,5.33,18,DEC,Barabati Stadium,19-Mar-10
405,Lasith Malinga,4,22,4,10,5.5,6,PBKS,Brabourne Stadium,30-Mar-10
406,Pradeep Sangwan,4,22,3,7,5.5,8,RCB,Arun Jaitley Stadium,04-Apr-10
407,Shaun Tait,4,22,3,10,5.5,8,DEC,Narendra Modi Stadium,26-Mar-10
408,Shaun Tait,4,22,2,11,5.5,12,CSK,Narendra Modi Stadium,28-Mar-10
409,Pragyan Ojha,4,22,2,11,5.5,12,RCB,Vidarbha Cricket Association Stadium,12-Apr-10
410,Dwayne Bravo,2,11,2,6,5.5,6,DC,Arun Jaitley Stadium,17-Mar-10
411,Ajantha Mendis,4,22,2,6,5.5,12,DC,Eden Gardens,07-Apr-10
412,Ravichandran Ashwin,4,22,2,10,5.5,12,MI,Chidambaram,06-Apr-10
413,Siddharth Trivedi,4,22,2,9,5.5,12,PBKS,Sawai Mansingh Stadium,07-Apr-10
414,Lasith Malinga,4,22,2,9,5.5,12,RR,Brabourne Stadium,13-Mar-10
415,Murali Kartik,4,22,2,9,5.5,12,RCB,Eden Gardens,14-Mar-10
416,Ravichandran Ashwin,4,22,1,11,5.5,24,KKR,Eden Gardens,16-Mar-10
417,Shane Warne,4,22,1,6,5.5,24,DC,Narendra Modi Stadium,15-Mar-10
418,Juan Theron,2,11,1,2,5.5,12,DC,Arun Jaitley Stadium,11-Apr-10
419,Andrew Symonds,4,22,1,9,5.5,24,PBKS,Barabati Stadium,19-Mar-10
420,Ramesh Powar,4,22,1,14,5.5,24,CSK,Chidambaram,21-Mar-10
421,Harmeet Singh Bansal,4,22,1,9,5.5,24,CSK,DY Patil Stadium,22-Apr-10
422,Rajagopal Sathish,2,11,1,6,5.5,12,KKR,Eden Gardens,19-Apr-10
423,Dirk Nannes,4,22,0,11,5.5,0,DEC,Arun Jaitley Stadium,18-Apr-10
424,Angelo Mathews,2,11,0,4,5.5,0,DC,Arun Jaitley Stadium,29-Mar-10
425,Siddharth Trivedi,2.5,16,3,8,5.64,5.66,DEC,Vidarbha Cricket Association Stadium,05-Apr-10
426,Murali Kartik,3,17,1,8,5.66,18,DEC,DY Patil Stadium,12-Mar-10
427,Shane Watson,3,17,0,13,5.66,0,KKR,Eden Gardens,17-Apr-10
428,Andrew Symonds,3,17,0,7,5.66,0,RCB,DY Patil Stadium,24-Apr-10
429,Pragyan Ojha,3.5,22,0,12,5.73,0,RCB,DY Patil Stadium,24-Apr-10
430,Albie Morkel,4,23,2,13,5.75,12,PBKS,Chidambaram,21-Mar-10
431,Yusuf Pathan,4,23,2,10,5.75,12,KKR,Narendra Modi Stadium,20-Mar-10
432,Dilhara Fernando,4,23,2,12,5.75,12,CSK,DY Patil Stadium,25-Apr-10
433,Amit Mishra,4,23,2,6,5.75,12,RCB,M. Chinnaswamy Stadium,25-Mar-10
434,Andrew Symonds,4,23,1,10,5.75,24,CSK,Vidarbha Cricket Association Stadium,10-Apr-10
435,Amit Mishra,4,23,1,10,5.75,24,PBKS,IS Bindra Stadium,13-Mar-10
436,Ryan McLaren,4,23,1,11,5.75,24,CSK,Brabourne Stadium,25-Mar-10
437,Shadab Jakati,4,23,1,10,5.75,24,KKR,Chidambaram,13-Apr-10
438,Harbhajan Singh,4,23,1,11,5.75,24,CSK,Chidambaram,06-Apr-10
439,Ramesh Powar,4,23,0,10,5.75,0,KKR,Eden Gardens,04-Apr-10
440,Lasith Malinga,4,23,0,10,5.75,0,RR,Sawai Mansingh Stadium,11-Apr-10
441,Piyush Chawla,4,24,3,9,6,8,MI,IS Bindra Stadium,09-Apr-10
442,Harmeet Singh Bansal,4,24,2,9,6,12,RCB,Vidarbha Cricket Association Stadium,12-Apr-10
443,Shanthakumaran Sreesanth,4,24,2,10,6,12,DC,IS Bindra Stadium,13-Mar-10
444,Shane Bond,4,24,2,8,6,12,MI,Eden Gardens,19-Apr-10
445,Shane Bond,4,24,2,13,6,12,PBKS,IS Bindra Stadium,27-Mar-10
446,Jaskaran Singh,3,18,2,8,6,9,KKR,Eden Gardens,01-Apr-10
447,Umesh Yadav,4,24,2,12,6,12,DEC,Arun Jaitley Stadium,18-Apr-10
448,Pragyan Ojha,4,24,2,12,6,12,MI,DY Patil Stadium,28-Mar-10
449,Ashok Dinda,4,24,2,10,6,12,RR,Eden Gardens,17-Apr-10
450,JP Duminy,2,3,1,9,1.5,12,MI,Wankhede Stadium,14-May-11
451,Rahul Sharma,4,7,2,17,1.75,12,MI,DY Patil Stadium,04-May-11
452,Brett Lee,4,8,0,15,2,0,CSK,Eden Gardens,07-May-11
453,Amit Mishra,4,9,4,16,2.25,6,PBKS,HPCA Stadium,21-May-11
454,Lasith Malinga,4,9,3,13,2.25,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-11
455,Shanthakumaran Sreesanth,4,10,2,15,2.5,12,DC,Jawaharlal Nehru Stadium,30-Apr-11
456,Morne Morkel,4,11,1,13,2.75,24,RR,Sawai Mansingh Stadium,12-Apr-11
457,Johan Botha,2,6,3,7,3,4,MI,Sawai Mansingh Stadium,29-Apr-11
458,Wayne Parnell,4,12,2,13,3,12,PBKS,IS Bindra Stadium,08-May-11
459,Jesse Ryder,3,9,1,11,3,18,PBKS,DY Patil Stadium,10-Apr-11
460,Amit Mishra,4,12,1,11,3,24,KTK,Jawaharlal Nehru Stadium,27-Apr-11
461,Yusuf Pathan,2,6,1,6,3,12,DC,Arun Jaitley Stadium,28-Apr-11
462,Brad Hodge,4,13,4,16,3.25,6,RR,Holkar Cricket Stadium,15-May-11
463,Rahul Sharma,4,13,3,17,3.25,8,RR,Sawai Mansingh Stadium,01-May-11
464,Shane Warne,4,13,1,13,3.25,24,MI,Sawai Mansingh Stadium,29-Apr-11
465,Charl Langeveldt,3,10,2,9,3.33,9,KKR,M. Chinnaswamy Stadium,14-May-11
466,Munaf Patel,3,10,0,7,3.33,0,RCB,M. Chinnaswamy Stadium,12-Apr-11
467,Munaf Patel,2.2,8,3,10,3.42,4.66,PWI,Wankhede Stadium,20-Apr-11
468,Sreenath Aravind,4,14,4,14,3.5,6,PBKS,M. Chinnaswamy Stadium,06-May-11
469,Amit Mishra,4,14,2,14,3.5,12,MI,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-11
470,Raiphi Gomez,4,14,2,14,3.5,12,KKR,Jawaharlal Nehru Stadium,05-May-11
471,Amit Singh,4,14,2,15,3.5,12,MI,Sawai Mansingh Stadium,29-Apr-11
472,Daniel Vettori,4,14,1,10,3.5,24,PBKS,M. Chinnaswamy Stadium,06-May-11
473,Ashok Dinda,2,7,0,7,3.5,0,MI,Arun Jaitley Stadium,10-Apr-11
474,Lasith Malinga,3.4,13,5,16,3.54,4.4,DC,Arun Jaitley Stadium,10-Apr-11
475,Chris Gayle,3,11,0,10,3.66,0,MI,Chidambaram,27-May-11
476,Praveen Kumar,3,11,0,13,3.66,0,RCB,HPCA Stadium,17-May-11
477,Siddharth Trivedi,4,15,3,13,3.75,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-11
478,Daniel Vettori,4,15,2,15,3.75,12,CSK,M. Chinnaswamy Stadium,22-May-11
479,Iqbal Abdulla,4,15,1,13,3.75,24,CSK,Eden Gardens,07-May-11
480,RP Singh,4,15,0,10,3.75,0,MI,Wankhede Stadium,15-Apr-11
481,Ali Murtaza,4,15,0,14,3.75,0,RR,Sawai Mansingh Stadium,29-Apr-11
482,Ishant Sharma,3,12,5,12,4,3.6,KTK,Jawaharlal Nehru Stadium,27-Apr-11
483,Piyush Chawla,4,16,3,14,4,8,DC,HPCA Stadium,15-May-11
484,Ravichandran Ashwin,4,16,3,10,4,8,RCB,Chidambaram,28-May-11
485,Shane Warne,4,16,3,11,4,8,KTK,Sawai Mansingh Stadium,24-Apr-11
486,Shanthakumaran Sreesanth,4,16,2,16,4,12,RR,Holkar Cricket Stadium,15-May-11
487,Shakib Al Hasan,4,16,2,13,4,12,PWI,DY Patil Stadium,19-May-11
488,Ishant Sharma,4,16,2,16,4,12,DC,Rajiv Gandhi Intl. Cricket Stadium,05-May-11
489,Ravichandran Ashwin,3,12,2,12,4,9,KKR,Eden Gardens,07-May-11
490,Iqbal Abdulla,3,12,1,11,4,18,PWI,DY Patil Stadium,19-May-11
491,Ryan Harris,4,16,1,14,4,24,DC,HPCA Stadium,15-May-11
492,Irfan Pathan,4,16,1,11,4,24,KKR,Arun Jaitley Stadium,28-Apr-11
493,Chris Gayle,2,8,1,4,4,12,PWI,M. Chinnaswamy Stadium,29-Apr-11
494,Jesse Ryder,2,8,1,5,4,12,KTK,DY Patil Stadium,13-Apr-11
495,Ravichandran Ashwin,4,16,1,9,4,24,KTK,Chidambaram,18-May-11
496,Alfonso Thomas,4,16,1,14,4,24,MI,Wankhede Stadium,20-Apr-11
497,Roelof van der Merwe,4,16,0,14,4,0,MI,Arun Jaitley Stadium,10-Apr-11
498,Pragyan Ojha,4,16,0,16,4,0,MI,Wankhede Stadium,14-May-11
499,Dan Christian,3,12,0,8,4,0,CSK,Chidambaram,01-May-11
500,Dan Christian,3,12,0,11,4,0,KTK,Jawaharlal Nehru Stadium,27-Apr-11
501,Suresh Raina,4,16,0,11,4,0,DC,Chidambaram,12-May-11
502,Piyush Chawla,4,17,4,15,4.25,6,RCB,HPCA Stadium,17-May-11
503,Yuvraj Singh,4,17,2,9,4.25,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,10-May-11
504,Rahul Sharma,4,17,2,12,4.25,12,PBKS,IS Bindra Stadium,08-May-11
505,Shane Warne,4,17,2,15,4.25,12,DC,Sawai Mansingh Stadium,12-Apr-11
506,Praveen Kumar,4,17,1,15,4.25,24,PWI,IS Bindra Stadium,08-May-11
507,Daniel Vettori,4,17,1,11,4.25,24,KTK,Jawaharlal Nehru Stadium,09-Apr-11
508,Lasith Malinga,4,17,1,12,4.25,24,DEC,Wankhede Stadium,14-May-11
509,Shane Warne,4,17,1,9,4.25,24,KKR,Eden Gardens,17-Apr-11
510,RP Singh,4,17,1,17,4.25,24,RR,Holkar Cricket Stadium,15-May-11
511,Ankeet Chavan,4,17,0,14,4.25,0,MI,Wankhede Stadium,20-May-11
512,Dan Christian,3,13,2,14,4.33,9,PWI,DY Patil Stadium,16-May-11
513,Pragyan Ojha,3,13,1,9,4.33,18,PWI,Rajiv Gandhi Intl. Cricket Stadium,10-May-11
514,Dale Steyn,3,13,1,11,4.33,18,PBKS,HPCA Stadium,21-May-11
515,Harbhajan Singh,4,18,5,10,4.5,4.8,CSK,Wankhede Stadium,22-Apr-11
516,Morne Morkel,4,18,3,12,4.5,8,KTK,Jawaharlal Nehru Stadium,30-Apr-11
517,Ali Murtaza,4,18,2,13,4.5,12,PWI,Wankhede Stadium,20-Apr-11
518,Dale Steyn,4,18,2,16,4.5,12,RR,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-11
519,Munaf Patel,4,18,2,9,4.5,12,PBKS,Wankhede Stadium,02-May-11
520,Jacques Kallis,4,18,2,14,4.5,12,MI,Wankhede Stadium,25-May-11
521,Munaf Patel,4,18,2,17,4.5,12,RR,Sawai Mansingh Stadium,29-Apr-11
522,Muttiah Muralitharan,4,18,1,10,4.5,24,KKR,Eden Gardens,20-Apr-11
523,James Faulkner,2,9,1,7,4.5,12,DC,Arun Jaitley Stadium,21-May-11
524,Amit Mishra,4,18,1,10,4.5,24,MI,Wankhede Stadium,14-May-11
525,Rahul Sharma,4,18,1,13,4.5,24,KTK,DY Patil Stadium,13-Apr-11
526,Ravichandran Ashwin,4,18,1,12,4.5,24,RCB,M. Chinnaswamy Stadium,22-May-11
527,Shrikant Wagh,2,9,1,5,4.5,12,MI,Wankhede Stadium,20-Apr-11
528,Amit Singh,4,18,1,16,4.5,24,DC,Sawai Mansingh Stadium,12-Apr-11
529,Bipul Sharma,2,9,0,5,4.5,0,KKR,Eden Gardens,30-Apr-11
530,Daniel Vettori,4,18,0,11,4.5,0,MI,M. Chinnaswamy Stadium,12-Apr-11
531,Chris Gayle,2,9,0,5,4.5,0,KKR,Eden Gardens,22-Apr-11
532,Rajat Bhatia,4,18,0,13,4.5,0,PBKS,Eden Gardens,30-Apr-11
533,Dale Steyn,3.3,16,3,16,4.57,7,KTK,Jawaharlal Nehru Stadium,27-Apr-11
534,Harbhajan Singh,3,14,2,11,4.66,9,DC,Arun Jaitley Stadium,10-Apr-11
535,Bhuvneshwar Kumar,3,14,2,9,4.66,9,PBKS,IS Bindra Stadium,08-May-11
536,Rahul Sharma,3,14,1,8,4.66,18,MI,Wankhede Stadium,20-Apr-11
537,Shane Warne,3,14,0,8,4.66,0,CSK,Chidambaram,04-May-11
538,Mithun Manhas,3,14,0,8,4.66,0,PBKS,DY Patil Stadium,10-Apr-11
539,Daniel Vettori,4,19,3,9,4.75,8,MI,Chidambaram,27-May-11
540,Shane Watson,4,19,3,12,4.75,8,MI,Wankhede Stadium,20-May-11
541,Siddharth Trivedi,4,19,3,11,4.75,8,KTK,Sawai Mansingh Stadium,24-Apr-11
542,Ravichandran Ashwin,4,19,2,12,4.75,12,PWI,Chidambaram,25-Apr-11
543,Ravichandran Ashwin,4,19,2,12,4.75,12,DC,Chidambaram,12-May-11
544,Zaheer Khan,4,19,2,15,4.75,12,CSK,M. Chinnaswamy Stadium,22-May-11
545,Praveen Kumar,4,19,2,17,4.75,12,MI,IS Bindra Stadium,10-May-11
546,Lasith Malinga,4,19,2,10,4.75,12,PBKS,Wankhede Stadium,02-May-11
547,Iqbal Abdulla,4,19,2,14,4.75,12,PBKS,Eden Gardens,30-Apr-11
548,Amit Mishra,4,19,2,11,4.75,12,KKR,Eden Gardens,11-Apr-11
549,Shane Watson,4,19,1,9,4.75,24,PWI,Sawai Mansingh Stadium,01-May-11
550,Johan Botha,4,19,1,10,4.75,24,KTK,Sawai Mansingh Stadium,24-Apr-11
551,Lasith Malinga,4,19,1,10,4.75,24,KKR,Wankhede Stadium,25-May-11
552,Albie Morkel,4,19,1,15,4.75,24,MI,Wankhede Stadium,22-Apr-11
553,Chris Gayle,4,19,0,10,4.75,0,CSK,Wankhede Stadium,24-May-11
554,Irfan Pathan,2.5,14,0,8,4.94,0,MI,Arun Jaitley Stadium,10-Apr-11
555,Lakshmipathy Balaji,3,15,3,10,5,6,RR,Eden Gardens,17-Apr-11
556,Yusuf Pathan,4,20,3,12,5,8,KTK,Eden Gardens,20-Apr-11
557,Doug Bollinger,4,20,2,8,5,12,PWI,Chidambaram,25-Apr-11
558,Sreenath Aravind,4,20,2,14,5,12,CSK,M. Chinnaswamy Stadium,22-May-11
559,Sreenath Aravind,4,20,2,13,5,12,KTK,M. Chinnaswamy Stadium,08-May-11
560,Ashok Menaria,4,20,2,10,5,12,MI,Sawai Mansingh Stadium,29-Apr-11
561,Lasith Malinga,4,20,2,12,5,12,CSK,Wankhede Stadium,22-Apr-11
562,Doug Bollinger,4,20,1,11,5,24,RCB,Wankhede Stadium,24-May-11
563,Vinay Kumar,3,15,1,9,5,18,PWI,DY Patil Stadium,13-Apr-11
564,Yusuf Pathan,2,10,1,3,5,12,RR,Eden Gardens,17-Apr-11
565,Varun Aaron,4,20,1,11,5,24,CSK,Chidambaram,12-May-11
566,Wayne Parnell,4,20,1,16,5,24,PBKS,DY Patil Stadium,10-Apr-11
567,Lasith Malinga,4,20,1,14,5,24,RR,Sawai Mansingh Stadium,29-Apr-11
568,Roelof van der Merwe,3,15,1,8,5,18,KTK,Arun Jaitley Stadium,02-May-11
569,Syed Mohammad,4,20,1,12,5,24,KKR,Eden Gardens,22-Apr-11
570,Kieron Pollard,2,10,1,5,5,12,DEC,Wankhede Stadium,14-May-11
571,Shrikant Wagh,2,10,0,8,5,0,KTK,DY Patil Stadium,13-Apr-11
572,Dhawal Kulkarni,4,20,0,12,5,0,PWI,DY Patil Stadium,04-May-11
573,Munaf Patel,3,15,0,8,5,0,KTK,Wankhede Stadium,15-Apr-11
574,Yuvraj Singh,2,10,0,3,5,0,RCB,M. Chinnaswamy Stadium,29-Apr-11
575,Shane Watson,4,20,0,12,5,0,KKR,Eden Gardens,17-Apr-11
576,Rajat Bhatia,2,10,0,3,5,0,CSK,Eden Gardens,07-May-11
577,Alfonso Thomas,3,15,0,9,5,0,DC,Arun Jaitley Stadium,21-May-11
578,Bhuvneshwar Kumar,2,10,0,7,5,0,DEC,DY Patil Stadium,16-May-11
579,Mitchell Marsh,2.1,11,1,3,5.07,13,DC,Arun Jaitley Stadium,21-May-11
580,Brett Lee,2.2,12,1,6,5.14,14,RR,Eden Gardens,17-Apr-11
581,Roelof van der Merwe,3.5,20,3,9,5.21,7.66,KTK,Jawaharlal Nehru Stadium,30-Apr-11
582,Munaf Patel,4,21,5,13,5.25,4.8,PBKS,IS Bindra Stadium,10-May-11
583,Doug Bollinger,4,21,3,14,5.25,8,PWI,DY Patil Stadium,27-Apr-11
584,Chris Gayle,4,21,3,7,5.25,8,PBKS,M. Chinnaswamy Stadium,06-May-11
585,RP Singh,4,21,2,12,5.25,12,DEC,Jawaharlal Nehru Stadium,27-Apr-11
586,Shakib Al Hasan,4,21,2,10,5.25,12,RR,Eden Gardens,17-Apr-11
587,Shane Warne,4,21,2,13,5.25,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-11
588,Shadab Jakati,4,21,2,9,5.25,12,RCB,Chidambaram,28-May-11
589,Vinay Kumar,4,21,1,10,5.25,24,KKR,Eden Gardens,20-Apr-11
590,Ali Murtaza,4,21,1,13,5.25,24,DC,Arun Jaitley Stadium,10-Apr-11
591,Ishant Sharma,4,21,1,14,5.25,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,14-Apr-11
592,Dwayne Bravo,4,21,0,12,5.25,0,RCB,M. Chinnaswamy Stadium,22-May-11
593,P Parameswaran,4,21,0,9,5.25,0,KKR,Jawaharlal Nehru Stadium,05-May-11
594,Shrikant Wagh,3,16,3,11,5.33,6,PBKS,DY Patil Stadium,10-Apr-11
595,Jacques Kallis,3,16,2,8,5.33,9,RCB,M. Chinnaswamy Stadium,14-May-11
596,Yusuf Pathan,3,16,1,6,5.33,18,KTK,Jawaharlal Nehru Stadium,05-May-11
597,Suresh Raina,3,16,0,8,5.33,0,PWI,DY Patil Stadium,27-Apr-11
598,Vinay Kumar,3,16,0,8,5.33,0,CSK,Jawaharlal Nehru Stadium,18-Apr-11
599,Lasith Malinga,3.2,18,2,12,5.4,10,DC,Wankhede Stadium,07-May-11
600,Dale Steyn,4,8,3,18,2,8,RCB,Rajiv Gandhi Intl. Cricket Stadium,20-May-12
601,Ben Hilfenhaus,4,8,2,15,2,12,RR,Sawai Mansingh Stadium,10-May-12
