,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
513,Robin Uthappa,15,5,300,2,1,RCB,M. Chinnaswamy Stadium,29-Apr-11
514,Shaun Marsh,15,5,300,2,1,DC,Arun Jaitley Stadium,23-Apr-11
515,Virender Sehwag,15,5,300,3,0,PBKS,Arun Jaitley Stadium,23-Apr-11
516,Virender Sehwag,15,5,300,1,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,05-May-11
517,Virat Kohli,15,5,300,0,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,14-Apr-11
518,Virender Sehwag,15,5,300,2,1,KTK,Jawaharlal Nehru Stadium,30-Apr-11
519,Paul Valthaty,15,4,375,2,1,CSK,IS Bindra Stadium,13-Apr-11
520,Rohit Sharma,15,4,375,0,2,CSK,Wankhede Stadium,22-Apr-11
521,Travis Birt,15,5,300,2,1,KTK,Jawaharlal Nehru Stadium,30-Apr-11
522,Aaron Finch,15,4,375,0,2,PWI,DY Patil Stadium,17-Apr-11
523,AB de Villiers,15,5,300,1,1,CSK,Chidambaram,16-Apr-11
524,Murali Vijay,15,4,375,0,2,RCB,Chidambaram,28-May-11
525,Yusuf Pathan,15,4,375,2,1,RCB,Eden Gardens,22-Apr-11
526,MS Dhoni,15,4,375,0,2,RCB,Chidambaram,28-May-11
527,Adam Gilchrist,15,5,300,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,16-Apr-11
528,Yuvraj Singh,15,6,250,0,2,CSK,DY Patil Stadium,27-Apr-11
529,Brendon McCullum,15,4,375,2,1,RCB,Jawaharlal Nehru Stadium,09-Apr-11
530,Tirumalasetti Suman,15,5,300,2,1,PWI,DY Patil Stadium,04-May-11
531,Kumar Sangakkara,15,5,300,2,1,DC,Arun Jaitley Stadium,19-Apr-11
532,Brendon McCullum,15,6,250,2,1,KKR,Eden Gardens,20-Apr-11
533,Venugopal Rao,14,4,350,0,2,RR,Sawai Mansingh Stadium,12-Apr-11
534,Suresh Raina,14,6,233.33,0,2,PWI,DY Patil Stadium,27-Apr-11
535,Bharat Chipli,14,4,350,0,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,14-Apr-11
