,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
881,Ravi Rampaul,4,35,0,0,DC,Arun Jaitley Stadium,10-May-13
882,Morne Morkel,4,35,0,0,RCB,Arun Jaitley Stadium,10-May-13
883,Vinay Kumar,4,35,0,0,PBKS,M. Chinnaswamy Stadium,14-May-13
884,Siddharth Trivedi,4,35,0,0,DC,Arun Jaitley Stadium,06-Apr-13
885,Sunil Narine,4,35,1,24,CSK,Chidambaram,28-Apr-13
886,Shanthakumaran Sreesanth,4,35,1,24,RCB,Sawai Mansingh Stadium,29-Apr-13
887,Kane Richardson,4,35,1,24,CSK,Maharashtra Cricket Association's International Stadium,30-Apr-13
888,Parvinder Awana,4,35,1,24,SRH,IS Bindra Stadium,11-May-13
889,Lasith Malinga,4,35,1,24,RR,Wankhede Stadium,15-May-13
890,Roelof van der Merwe,4,35,1,24,MI,Arun Jaitley Stadium,21-Apr-13
891,RP Singh,4,35,1,24,RR,Sawai Mansingh Stadium,29-Apr-13
892,James Faulkner,4,35,1,24,PWI,Sawai Mansingh Stadium,05-May-13
893,Murali Kartik,4,35,1,24,RR,M. Chinnaswamy Stadium,20-Apr-13
894,Ravi Rampaul,4,35,1,24,MI,Wankhede Stadium,27-Apr-13
895,Lakshmipathy Balaji,4,35,1,24,DC,Shaheed Veer Narayan Singh International Cricket Stadium,01-May-13
896,Parvinder Awana,4,35,1,24,RR,Sawai Mansingh Stadium,14-Apr-13
897,Harbhajan Singh,4,35,1,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,01-May-13
898,Ishant Sharma,4,35,2,12,DC,Arun Jaitley Stadium,12-Apr-13
899,Mitchell Marsh,4,35,2,12,CSK,Chidambaram,15-Apr-13
900,Sandeep Sharma,4,65,1,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,14-May-14
901,Parvinder Awana,4,59,2,12,CSK,Wankhede Stadium,30-May-14
902,Beuran Hendricks,4,57,0,0,RR,IS Bindra Stadium,23-May-14
903,Amit Mishra,4,56,2,12,PBKS,Sharjah Cricket Stadium,22-Apr-14
904,Harshal Patel,3,56,2,9,PBKS,M. Chinnaswamy Stadium,09-May-14
905,Amit Mishra,4,54,0,0,MI,Dubai International Stadium,30-Apr-14
906,Karanveer Singh,4,54,4,6,KKR,M. Chinnaswamy Stadium,01-Jun-14
907,James Faulkner,3.4,54,0,0,MI,Wankhede Stadium,25-May-14
908,Dale Steyn,4,51,0,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14-May-14
909,Ashok Dinda,4,51,0,0,DC,Sharjah Cricket Stadium,17-Apr-14
910,Murali Kartik,4,51,1,24,RR,Sharjah Cricket Stadium,20-Apr-14
911,Mohit Sharma,4,51,1,24,DC,Arun Jaitley Stadium,05-May-14
912,Ashish Nehra,4,51,2,12,PBKS,Wankhede Stadium,30-May-14
913,Yuzvendra Chahal,4,50,0,0,KKR,Eden Gardens,22-May-14
914,Dhawal Kulkarni,4,50,1,24,PBKS,Sharjah Cricket Stadium,20-Apr-14
915,Krishmar Santokie,4,50,2,12,RR,Narendra Modi Stadium,19-May-14
916,Ravindra Jadeja,4,48,0,0,PBKS,Wankhede Stadium,30-May-14
917,Imran Tahir,4,48,0,0,RCB,M. Chinnaswamy Stadium,13-May-14
918,James Faulkner,4,47,0,0,MI,Narendra Modi Stadium,19-May-14
919,Mitchell Johnson,4,47,0,0,CSK,Zayed Cricket Stadium,18-Apr-14
920,Jaydev Unadkat,3.4,47,0,0,CSK,Arun Jaitley Stadium,05-May-14
921,Lakshmipathy Balaji,4,46,0,0,RR,Sharjah Cricket Stadium,20-Apr-14
922,Karn Sharma,4,46,1,24,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14-May-14
923,Mohit Sharma,4,46,1,24,PBKS,Wankhede Stadium,30-May-14
924,Sunil Narine,4,46,1,24,PBKS,M. Chinnaswamy Stadium,01-Jun-14
925,Yuzvendra Chahal,4,45,1,24,DC,M. Chinnaswamy Stadium,13-May-14
926,Mohammad Shami,4,45,1,24,CSK,Zayed Cricket Stadium,21-Apr-14
927,Umesh Yadav,4,45,1,24,RCB,Eden Gardens,22-May-14
928,James Faulkner,3.4,45,1,22,PBKS,Sharjah Cricket Stadium,20-Apr-14
929,Rishi Dhawan,4,44,0,0,KKR,Eden Gardens,28-May-14
930,Rahul Shukla,4,44,0,0,RR,Narendra Modi Stadium,15-May-14
931,Vinay Kumar,4,44,0,0,RCB,Eden Gardens,22-May-14
932,Mitchell Johnson,4,44,1,24,CSK,Wankhede Stadium,30-May-14
933,Ravichandran Ashwin,4,44,1,24,PBKS,Wankhede Stadium,30-May-14
934,Piyush Chawla,4,44,2,12,PBKS,M. Chinnaswamy Stadium,01-Jun-14
935,Dale Steyn,4,43,0,0,CSK,JSCA Stadium,22-May-14
936,Jaydev Unadkat,4,43,0,0,SRH,Dubai International Stadium,25-Apr-14
937,Ravindra Jadeja,4,43,0,0,PBKS,Zayed Cricket Stadium,18-Apr-14
938,Dale Steyn,4,43,0,0,KKR,Eden Gardens,24-May-14
939,Harbhajan Singh,4,43,1,24,RR,Wankhede Stadium,25-May-14
940,Shakib Al Hasan,4,43,1,24,PBKS,Eden Gardens,28-May-14
941,Mitchell Starc,4,43,2,12,PBKS,M. Chinnaswamy Stadium,09-May-14
942,Kane Richardson,4,43,2,12,RCB,M. Chinnaswamy Stadium,11-May-14
943,Lakshmipathy Balaji,4,43,2,12,CSK,Zayed Cricket Stadium,18-Apr-14
944,Parvinder Awana,3.3,43,0,0,KKR,M. Chinnaswamy Stadium,01-Jun-14
945,Lakshmipathy Balaji,3,43,2,9,RCB,M. Chinnaswamy Stadium,09-May-14
946,Rishi Dhawan,4,42,0,0,DC,Arun Jaitley Stadium,19-May-14
947,Mohammad Shami,4,42,0,0,CSK,Arun Jaitley Stadium,05-May-14
948,James Faulkner,4,42,1,24,RCB,M. Chinnaswamy Stadium,11-May-14
949,Piyush Chawla,4,42,1,24,CSK,Eden Gardens,20-May-14
950,Vinay Kumar,4,42,2,12,RR,Narendra Modi Stadium,05-May-14
951,Rishi Dhawan,4,42,2,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,14-May-14
952,Mohit Sharma,4,42,3,8,MI,Brabourne Stadium,28-May-14
953,Wayne Parnell,3.4,42,0,0,PBKS,Arun Jaitley Stadium,19-May-14
954,Ravindra Jadeja,3.4,42,1,22,SRH,JSCA Stadium,22-May-14
955,Dhawal Kulkarni,3,42,2,9,MI,Wankhede Stadium,25-May-14
956,Kieron Pollard,2.3,42,1,15,CSK,Wankhede Stadium,10-May-14
957,Ishwar Pandey,4,41,0,0,PBKS,Barabati Stadium,07-May-14
958,Lakshmipathy Balaji,4,41,0,0,KKR,M. Chinnaswamy Stadium,01-Jun-14
959,Rahul Shukla,4,41,1,24,RCB,M. Chinnaswamy Stadium,13-May-14
960,Varun Aaron,4,41,1,24,MI,Wankhede Stadium,06-May-14
961,Mitchell Johnson,4,41,2,12,KKR,M. Chinnaswamy Stadium,01-Jun-14
962,Ravichandran Ashwin,4,41,2,12,PBKS,Zayed Cricket Stadium,18-Apr-14
963,Morne Morkel,4,41,2,12,DC,Dubai International Stadium,19-Apr-14
964,Shadab Jakati,3.4,41,0,0,CSK,M. Chinnaswamy Stadium,24-May-14
965,Varun Aaron,2.5,41,0,0,RR,M. Chinnaswamy Stadium,11-May-14
966,Morne Morkel,4,40,0,0,PBKS,M. Chinnaswamy Stadium,01-Jun-14
967,Murali Kartik,4,40,0,0,CSK,Barabati Stadium,07-May-14
968,Axar Patel,4,40,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,14-May-14
969,Bhuvneshwar Kumar,4,40,0,0,DC,Dubai International Stadium,25-Apr-14
970,Axar Patel,4,40,0,0,MI,Wankhede Stadium,03-May-14
971,Krishmar Santokie,4,40,1,24,PBKS,IS Bindra Stadium,21-May-14
972,Morne Morkel,4,40,1,24,RR,Zayed Cricket Stadium,29-Apr-14
973,Abu Nechim,4,40,1,24,DC,M. Chinnaswamy Stadium,13-May-14
974,Parvinder Awana,4,40,1,24,RR,Sharjah Cricket Stadium,20-Apr-14
975,Umesh Yadav,4,40,1,24,RCB,Sharjah Cricket Stadium,24-Apr-14
976,Karanveer Singh,4,40,3,8,KKR,Eden Gardens,28-May-14
977,Jasprit Bumrah,3.4,40,0,0,CSK,Brabourne Stadium,28-May-14
978,Dale Steyn,4,39,0,0,RCB,M. Chinnaswamy Stadium,04-May-14
979,Morne Morkel,4,39,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,18-May-14
980,Rajat Bhatia,4,39,0,0,MI,Narendra Modi Stadium,19-May-14
981,Ravichandran Ashwin,4,39,1,24,RR,JSCA Stadium,13-May-14
982,Mohammad Shami,4,39,1,24,PBKS,Arun Jaitley Stadium,19-May-14
983,Umesh Yadav,4,39,1,24,PBKS,M. Chinnaswamy Stadium,01-Jun-14
984,Kane Richardson,4,39,1,24,DC,Arun Jaitley Stadium,03-May-14
985,Ashok Dinda,4,39,1,24,SRH,M. Chinnaswamy Stadium,04-May-14
986,Ben Hilfenhaus,4,39,2,12,MI,Dubai International Stadium,25-Apr-14
987,Glenn Maxwell,3,39,0,0,RCB,Dubai International Stadium,28-Apr-14
988,James Faulkner,3,39,1,18,PBKS,IS Bindra Stadium,23-May-14
989,Amit Mishra,4,38,0,0,KKR,Rajiv Gandhi Intl. Cricket Stadium,18-May-14
990,Wayne Parnell,4,38,0,0,SRH,Dubai International Stadium,25-Apr-14
991,Pawan Negi,4,38,0,0,SRH,JSCA Stadium,22-May-14
992,Amit Mishra,4,38,0,0,DC,Dubai International Stadium,25-Apr-14
993,Pravin Tambe,4,38,1,24,RCB,M. Chinnaswamy Stadium,11-May-14
994,Jacques Kallis,4,38,1,24,DC,Arun Jaitley Stadium,07-May-14
995,Lakshmipathy Balaji,4,38,1,24,MI,Wankhede Stadium,03-May-14
996,Ashok Dinda,4,38,1,24,KKR,Eden Gardens,22-May-14
997,Sunil Narine,4,38,1,24,DC,Arun Jaitley Stadium,07-May-14
998,Kevon Cooper,4,38,2,12,MI,Wankhede Stadium,25-May-14
999,Mohit Sharma,4,38,2,12,PBKS,Barabati Stadium,07-May-14
1000,Karn Sharma,4,38,4,6,KKR,Eden Gardens,24-May-14
1001,Bhuvneshwar Kumar,3.4,38,1,22,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14-May-14
1002,Jacques Kallis,3,38,0,0,PBKS,Barabati Stadium,11-May-14
1003,Ben Hilfenhaus,3,38,0,0,KKR,Eden Gardens,20-May-14
1004,Rajat Bhatia,3,38,0,0,PBKS,Sharjah Cricket Stadium,20-Apr-14
1005,Ashok Dinda,3,38,1,18,MI,Wankhede Stadium,06-May-14
1006,James Faulkner,3,38,1,18,CSK,Dubai International Stadium,23-Apr-14
1007,David Hussey,2.5,38,2,8.5,RCB,JSCA Stadium,18-May-14
1008,Ravichandran Ashwin,2,38,0,0,PBKS,Barabati Stadium,07-May-14
1009,Karn Sharma,4,37,0,0,PBKS,Sharjah Cricket Stadium,22-Apr-14
1010,Kieron Pollard,4,37,0,0,RCB,Wankhede Stadium,06-May-14
1011,Mitchell Johnson,4,37,0,0,MI,Wankhede Stadium,03-May-14
1012,Lakshmipathy Balaji,4,37,1,24,RR,IS Bindra Stadium,23-May-14
1013,Siddarth Kaul,4,37,1,24,RCB,M. Chinnaswamy Stadium,13-May-14
1014,Sandeep Sharma,4,37,1,24,CSK,Barabati Stadium,07-May-14
1015,Mitchell Johnson,4,37,2,12,CSK,Barabati Stadium,07-May-14
1016,Ishant Sharma,4,37,2,12,CSK,Sharjah Cricket Stadium,27-Apr-14
1017,Imran Tahir,4,37,3,8,MI,Wankhede Stadium,23-May-14
1018,Bhuvneshwar Kumar,3.4,37,0,0,KKR,Rajiv Gandhi Intl. Cricket Stadium,18-May-14
1019,James Faulkner,3.4,37,1,22,CSK,JSCA Stadium,13-May-14
1020,Ravindra Jadeja,3,37,0,0,PBKS,Barabati Stadium,07-May-14
1021,Sandeep Sharma,3,37,0,0,MI,IS Bindra Stadium,21-May-14
1022,Pawan Negi,3,37,0,0,PBKS,Zayed Cricket Stadium,18-Apr-14
1023,Ashok Dinda,3,37,0,0,RR,M. Chinnaswamy Stadium,11-May-14
1024,Kieron Pollard,4,36,0,0,SRH,Dubai International Stadium,30-Apr-14
1025,Jasprit Bumrah,4,36,0,0,DC,Wankhede Stadium,23-May-14
1026,Mohammad Shami,4,36,0,0,SRH,Dubai International Stadium,25-Apr-14
1027,Mohammad Shami,4,36,0,0,MI,Sharjah Cricket Stadium,27-Apr-14
1028,Bhuvneshwar Kumar,4,36,0,0,CSK,JSCA Stadium,22-May-14
1029,Pravin Tambe,4,36,0,0,PBKS,IS Bindra Stadium,23-May-14
1030,Ben Hilfenhaus,4,36,1,24,PBKS,Barabati Stadium,07-May-14
1031,Varun Aaron,4,36,2,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,20-May-14
1032,Beuran Hendricks,4,36,3,8,DC,Arun Jaitley Stadium,19-May-14
1033,Jaydev Unadkat,3.3,36,0,0,RR,Arun Jaitley Stadium,03-May-14
1034,Dwayne Smith,3,36,1,18,PBKS,Barabati Stadium,07-May-14
1035,Shreyas Gopal,3,36,1,18,RR,Wankhede Stadium,25-May-14
1036,Moises Henriques,2,36,0,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14-May-14
1037,Shane Watson,4,35,0,0,RCB,M. Chinnaswamy Stadium,11-May-14
1038,Vinay Kumar,4,35,0,0,DC,Dubai International Stadium,19-Apr-14
1039,Parveez Rasool,4,35,0,0,CSK,JSCA Stadium,22-May-14
1040,Varun Aaron,4,35,1,24,PBKS,M. Chinnaswamy Stadium,09-May-14
1041,Karn Sharma,4,35,1,24,CSK,Sharjah Cricket Stadium,27-Apr-14
1042,Ishwar Pandey,4,35,1,24,PBKS,Wankhede Stadium,30-May-14
1043,Wayne Parnell,4,35,1,24,RR,Arun Jaitley Stadium,03-May-14
1044,Morne Morkel,4,35,2,12,MI,Barabati Stadium,14-May-14
1045,Lasith Malinga,4,35,2,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,12-May-14
1046,Shahbaz Nadeem,4,35,2,12,RR,Narendra Modi Stadium,15-May-14
1047,Sandeep Sharma,4,35,3,8,DC,Arun Jaitley Stadium,19-May-14
1048,Yuvraj Singh,4,35,4,6,RR,M. Chinnaswamy Stadium,11-May-14
1049,Corey Anderson,3,35,0,0,CSK,Brabourne Stadium,28-May-14
1050,Abu Nechim,4,59,0,0,MI,M. Chinnaswamy Stadium,19-Apr-15
1051,Mohit Sharma,4,58,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,02-May-15
1052,Anureet Singh,3.5,56,2,11.5,KKR,Eden Gardens,09-May-15
1053,James Faulkner,4,55,0,0,DC,Arun Jaitley Stadium,12-Apr-15
1054,Jasprit Bumrah,4,55,1,24,DC,Arun Jaitley Stadium,23-Apr-15
1055,Pat Cummins,4,54,1,24,CSK,Eden Gardens,30-Apr-15
1056,Jasprit Bumrah,4,52,0,0,RCB,Wankhede Stadium,10-May-15
1057,Karn Sharma,4,51,0,0,CSK,Chidambaram,11-Apr-15
1058,Yuzvendra Chahal,4,51,2,12,MI,Wankhede Stadium,10-May-15
1059,Hardik Pandya,3,51,0,0,RCB,Wankhede Stadium,10-May-15
1060,Rishi Dhawan,4,50,0,0,MI,Wankhede Stadium,12-Apr-15
1061,Varun Aaron,4,50,0,0,MI,M. Chinnaswamy Stadium,19-Apr-15
1062,Andre Russell,4,50,1,24,PBKS,Eden Gardens,09-May-15
1063,Axar Patel,4,50,1,24,RCB,M. Chinnaswamy Stadium,06-May-15
1064,Ishant Sharma,4,49,0,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11-May-15
1065,Gurinder Sandhu,4,49,0,0,RR,Brabourne Stadium,03-May-15
1066,Ravindra Jadeja,4,49,0,0,MI,Wankhede Stadium,17-Apr-15
1067,Shakib Al Hasan,4,48,1,24,MI,Eden Gardens,08-Apr-15
1068,Vinay Kumar,4,46,0,0,PBKS,Wankhede Stadium,12-Apr-15
1069,Pawan Negi,4,46,0,0,MI,Wankhede Stadium,19-May-15
1070,Tim Southee,4,46,1,24,MI,Narendra Modi Stadium,14-Apr-15
1071,David Wiese,4,46,1,24,CSK,M. Chinnaswamy Stadium,22-Apr-15
1072,Imran Tahir,4,46,2,12,KKR,Eden Gardens,07-May-15
1073,Ishant Sharma,3,46,0,0,CSK,Chidambaram,11-Apr-15
1074,Mitchell McClenaghan,3,46,1,18,CSK,Wankhede Stadium,19-May-15
1075,Pawan Suyal,4,45,0,0,RR,Narendra Modi Stadium,14-Apr-15
1076,James Faulkner,4,45,1,24,KKR,Brabourne Stadium,16-May-15
1077,Trent Boult,4,45,1,24,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11-May-15
1078,Ashish Nehra,3,45,0,0,MI,Chidambaram,08-May-15
1079,Trent Boult,4,44,0,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,02-May-15
1080,Harbhajan Singh,4,44,2,12,CSK,Wankhede Stadium,17-Apr-15
1081,Bhuvneshwar Kumar,4,44,3,8,RR,Brabourne Stadium,07-May-15
1082,Shivam Sharma,3,44,1,18,RR,Narendra Modi Stadium,21-Apr-15
1083,Karanveer Singh,4,43,0,0,CSK,Chidambaram,25-Apr-15
1084,Karanveer Singh,4,43,0,0,RR,Maharashtra Cricket Association's International Stadium,10-Apr-15
1085,Mitchell Johnson,4,43,0,0,RCB,M. Chinnaswamy Stadium,06-May-15
1086,Mohit Sharma,4,43,1,24,MI,Wankhede Stadium,17-Apr-15
1087,Mitchell McClenaghan,4,43,1,24,RCB,M. Chinnaswamy Stadium,19-Apr-15
1088,Dwayne Bravo,4,43,2,12,RR,Chidambaram,10-May-15
1089,Dhawal Kulkarni,4,43,2,12,DC,Brabourne Stadium,03-May-15
1090,Imran Tahir,4,43,3,8,PBKS,Maharashtra Cricket Association's International Stadium,15-Apr-15
1091,Nathan Coulter-Nile,4,42,0,0,RR,Arun Jaitley Stadium,12-Apr-15
1092,James Faulkner,4,42,0,0,RCB,Maharashtra Cricket Association's International Stadium,20-May-15
1093,Mitchell Johnson,4,42,0,0,DC,Maharashtra Cricket Association's International Stadium,15-Apr-15
1094,Angelo Mathews,4,42,1,24,RR,Arun Jaitley Stadium,12-Apr-15
1095,Chris Morris,4,42,1,24,RCB,Maharashtra Cricket Association's International Stadium,20-May-15
1096,Bhuvneshwar Kumar,4,42,2,12,KKR,Eden Gardens,04-May-15
1097,Amit Mishra,4,41,0,0,RR,Brabourne Stadium,03-May-15
1098,Ashish Nehra,4,41,0,0,MI,Eden Gardens,24-May-15
1099,Abu Nechim,4,41,0,0,SRH,M. Chinnaswamy Stadium,13-Apr-15
1100,James Faulkner,4,41,0,0,PBKS,Narendra Modi Stadium,21-Apr-15
1101,Mitchell Starc,4,41,1,24,MI,Wankhede Stadium,10-May-15
1102,Lasith Malinga,4,41,1,24,RR,Narendra Modi Stadium,14-Apr-15
1103,Anureet Singh,4,41,1,24,RR,Narendra Modi Stadium,21-Apr-15
1104,Mitchell Johnson,4,41,1,24,MI,IS Bindra Stadium,03-May-15
1105,Jagadeesha Suchith,4,41,1,24,PBKS,Wankhede Stadium,12-Apr-15
1106,Sandeep Sharma,4,41,2,12,RCB,M. Chinnaswamy Stadium,06-May-15
1107,Anureet Singh,4,41,2,12,MI,Wankhede Stadium,12-Apr-15
1108,Mitchell Johnson,3.5,41,1,23,KKR,Maharashtra Cricket Association's International Stadium,18-Apr-15
1109,Azhar Mahmood,3,41,0,0,RR,Brabourne Stadium,16-May-15
1110,Karanveer Singh,2,41,0,0,RCB,M. Chinnaswamy Stadium,06-May-15
1111,Praveen Kumar,4,40,0,0,RR,Brabourne Stadium,07-May-15
1112,Mitchell Johnson,4,40,0,0,CSK,Chidambaram,25-Apr-15
1113,Mitchell McClenaghan,4,40,0,0,RCB,Wankhede Stadium,10-May-15
1114,James Faulkner,4,40,0,0,CSK,Chidambaram,10-May-15
1115,Juan Theron,4,40,1,24,MI,Wankhede Stadium,01-May-15
1116,Lasith Malinga,4,40,1,24,CSK,Wankhede Stadium,17-Apr-15
1117,Umesh Yadav,4,40,1,24,SRH,ACA-VDCA Stadium,22-Apr-15
1118,Anureet Singh,4,40,1,24,CSK,Chidambaram,25-Apr-15
1119,Beuran Hendricks,4,40,2,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,11-May-15
1120,Yusuf Pathan,4,40,2,12,RCB,Eden Gardens,11-Apr-15
1121,Dwayne Bravo,4,40,3,8,MI,Wankhede Stadium,19-May-15
1122,Yuzvendra Chahal,4,40,3,8,CSK,M. Chinnaswamy Stadium,22-Apr-15
1123,David Wiese,4,39,0,0,DC,M. Chinnaswamy Stadium,17-May-15
1124,Ishant Sharma,4,39,0,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09-May-15
1125,Mohit Sharma,4,39,0,0,RCB,M. Chinnaswamy Stadium,22-Apr-15
1126,Vinay Kumar,4,39,1,24,CSK,Eden Gardens,24-May-15
1127,Vinay Kumar,4,39,1,24,RR,Wankhede Stadium,01-May-15
1128,Jasprit Bumrah,4,39,1,24,RCB,M. Chinnaswamy Stadium,19-Apr-15
1129,Jagadeesha Suchith,4,39,1,24,RR,Wankhede Stadium,01-May-15
1130,Mitchell Johnson,4,39,2,12,SRH,IS Bindra Stadium,27-Apr-15
1131,Andre Russell,4,39,2,12,PBKS,Maharashtra Cricket Association's International Stadium,18-Apr-15
1132,Ashok Dinda,3,39,0,0,DC,M. Chinnaswamy Stadium,17-May-15
1133,Pravin Tambe,3,39,0,0,RCB,M. Chinnaswamy Stadium,29-Apr-15
1134,Bhuvneshwar Kumar,1.5,39,0,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,15-May-15
1135,Chris Morris,4,38,0,0,SRH,Brabourne Stadium,07-May-15
1136,Morne Morkel,4,38,0,0,RR,Brabourne Stadium,16-May-15
1137,David Wiese,4,38,0,0,MI,Wankhede Stadium,10-May-15
1138,Ravi Bopara,4,38,0,0,DC,ACA-VDCA Stadium,18-Apr-15
1139,Sunil Narine,4,38,0,0,SRH,ACA-VDCA Stadium,22-Apr-15
1140,Nathan Coulter-Nile,4,38,1,24,RR,Brabourne Stadium,03-May-15
1141,Angelo Mathews,4,38,1,24,SRH,ACA-VDCA Stadium,18-Apr-15
1142,Praveen Kumar,4,38,1,24,DC,ACA-VDCA Stadium,18-Apr-15
1143,Sunil Narine,4,38,1,24,DC,Arun Jaitley Stadium,20-Apr-15
1144,Mohit Sharma,4,38,1,24,MI,Eden Gardens,24-May-15
1145,Harbhajan Singh,4,38,1,24,KKR,Eden Gardens,08-Apr-15
1146,Ashish Nehra,4,38,1,24,KKR,Chidambaram,28-Apr-15
1147,Sunil Narine,4,38,1,24,MI,Wankhede Stadium,14-May-15
1148,Varun Aaron,4,38,1,24,KKR,Eden Gardens,11-Apr-15
1149,Shane Watson,4,38,2,12,KKR,Brabourne Stadium,16-May-15
1150,Dale Steyn,4,38,2,12,MI,Wankhede Stadium,25-Apr-15
1151,Mitchell McClenaghan,4,38,2,12,DC,Arun Jaitley Stadium,23-Apr-15
1152,Jasprit Bumrah,3,38,1,18,KKR,Eden Gardens,08-Apr-15
1153,Shardul Thakur,3,38,1,18,DC,Arun Jaitley Stadium,01-May-15
1154,Karn Sharma,2.5,38,1,17,MI,Rajiv Gandhi Intl. Cricket Stadium,17-May-15
1155,Anureet Singh,4,37,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,11-May-15
1156,Anureet Singh,4,37,0,0,KKR,Maharashtra Cricket Association's International Stadium,18-Apr-15
1157,Mitchell McClenaghan,4,37,0,0,DC,Wankhede Stadium,05-May-15
1158,Andre Russell,4,37,0,0,MI,Wankhede Stadium,14-May-15
1159,Dale Steyn,4,37,0,0,KKR,Eden Gardens,04-May-15
1160,Harshal Patel,4,37,1,24,KKR,Eden Gardens,11-Apr-15
1161,Ravindra Jadeja,4,37,1,24,RCB,M. Chinnaswamy Stadium,22-Apr-15
1162,James Faulkner,4,37,1,24,SRH,Brabourne Stadium,07-May-15
1163,Umesh Yadav,3,37,0,0,MI,Wankhede Stadium,14-May-15
1164,Hardik Pandya,3,37,0,0,RCB,M. Chinnaswamy Stadium,19-Apr-15
1165,Umesh Yadav,4,36,0,0,CSK,Chidambaram,28-Apr-15
1166,Ashish Nehra,4,36,0,0,KKR,Eden Gardens,30-Apr-15
1167,Shakib Al Hasan,4,36,0,0,RR,Brabourne Stadium,16-May-15
1168,Hardik Pandya,4,36,0,0,CSK,Eden Gardens,24-May-15
1169,Pravin Tambe,4,36,0,0,RCB,Narendra Modi Stadium,24-Apr-15
1170,Tim Southee,4,36,0,0,DC,Arun Jaitley Stadium,12-Apr-15
1171,Harbhajan Singh,4,36,0,0,SRH,Wankhede Stadium,25-Apr-15
1172,Umesh Yadav,4,36,0,0,PBKS,Eden Gardens,09-May-15
1173,Yuzvendra Chahal,4,36,1,24,CSK,Chidambaram,04-May-15
1174,Harbhajan Singh,4,36,1,24,CSK,Chidambaram,08-May-15
1175,Nathan Coulter-Nile,4,36,1,24,MI,Arun Jaitley Stadium,23-Apr-15
1176,Pravin Tambe,4,36,1,24,CSK,Narendra Modi Stadium,19-Apr-15
1177,Dhawal Kulkarni,4,36,1,24,RCB,M. Chinnaswamy Stadium,29-Apr-15
1178,Tim Southee,4,36,1,24,MI,Wankhede Stadium,01-May-15
1179,Umesh Yadav,4,36,1,24,RR,Brabourne Stadium,16-May-15
1180,Dwayne Bravo,4,36,2,12,MI,Eden Gardens,24-May-15
1181,Iqbal Abdulla,4,36,2,12,CSK,M. Chinnaswamy Stadium,22-Apr-15
1182,Mohit Sharma,4,36,2,12,SRH,Chidambaram,11-Apr-15
1183,Dhawal Kulkarni,4,36,2,12,KKR,Brabourne Stadium,16-May-15
1184,Tim Southee,4,36,2,12,PBKS,Maharashtra Cricket Association's International Stadium,10-Apr-15
1185,Harshal Patel,4,36,2,12,MI,Wankhede Stadium,10-May-15
1186,Dwayne Bravo,4,36,2,12,DC,Chidambaram,09-Apr-15
1187,Trent Boult,4,36,3,8,RCB,M. Chinnaswamy Stadium,13-Apr-15
1188,Varun Aaron,3.2,36,0,0,SRH,M. Chinnaswamy Stadium,13-Apr-15
1189,Imran Tahir,3,36,0,0,PBKS,Arun Jaitley Stadium,01-May-15
1190,Sean Abbott,3,36,0,0,KKR,Eden Gardens,11-Apr-15
1191,Shane Watson,3,36,0,0,MI,Wankhede Stadium,01-May-15
1192,Umesh Yadav,3,36,0,0,MI,Eden Gardens,08-Apr-15
1193,Suresh Raina,3,36,1,18,RCB,JSCA Stadium,22-May-15
1194,Shane Watson,3,36,2,9,SRH,Brabourne Stadium,07-May-15
1195,Sandeep Sharma,4,35,0,0,KKR,Eden Gardens,09-May-15
1196,Pawan Negi,4,35,0,0,RR,Chidambaram,10-May-15
1197,Mitchell Starc,4,35,0,0,DC,M. Chinnaswamy Stadium,17-May-15
1198,Iqbal Abdulla,4,35,0,0,MI,M. Chinnaswamy Stadium,19-Apr-15
1199,Morne Morkel,4,35,1,24,RCB,Eden Gardens,11-Apr-15
1200,Shane Watson,4,61,0,0,SRH,M. Chinnaswamy Stadium,29-May-16
1201,Imran Tahir,4,59,0,0,MI,ACA-VDCA Stadium,15-May-16
1202,Karn Sharma,4,57,0,0,RCB,M. Chinnaswamy Stadium,12-Apr-16
1203,Umesh Yadav,4,56,1,24,RCB,M. Chinnaswamy Stadium,02-May-16
1204,Bhuvneshwar Kumar,4,55,2,12,RCB,M. Chinnaswamy Stadium,12-Apr-16
1205,KC Cariappa,3,55,0,0,RCB,M. Chinnaswamy Stadium,18-May-16
