,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
189,Vinay Kumar,4,38,2,12,CSK,New Wanderers Stadium,23-May-09
190,Shane Warne,3,38,2,9,PBKS,Kingsmead,05-May-09
191,Shane Warne,4,37,0,0,PBKS,Newlands,26-Apr-09
192,Irfan Pathan,4,37,0,0,KKR,St George's Park,03-May-09
193,Muttiah Muralitharan,4,37,0,0,PBKS,Supersport Park,07-May-09
194,Praveen Kumar,4,37,1,24,DEC,Newlands,22-Apr-09
195,Shanthakumaran Sreesanth,4,37,1,24,CSK,Supersport Park,07-May-09
196,Shanthakumaran Sreesanth,4,37,1,24,DEC,De Beers Diamond Oval,09-May-09
197,Lasith Malinga,4,37,1,24,RCB,St George's Park,10-May-09
198,Praveen Kumar,4,37,2,12,CSK,St George's Park,20-Apr-09
199,Jacques Kallis,3,37,0,0,DC,St George's Park,26-Apr-09
200,Praveen Kumar,4,36,0,0,PBKS,Kingsmead,24-Apr-09
201,Moises Henriques,4,36,0,0,DC,Kingsmead,05-May-09
202,RP Singh,4,36,1,24,CSK,Buffalo Park,04-May-09
203,Shadab Jakati,4,36,1,24,KKR,Supersport Park,18-May-09
204,Shane Warne,4,36,1,24,DEC,De Beers Diamond Oval,11-May-09
205,Ishant Sharma,4,36,2,12,KKR,Newlands,23-Apr-09
206,Ishant Sharma,4,36,2,12,RR,Newlands,23-Apr-09
207,Yusuf Abdulla,4,36,4,6,RCB,Kingsmead,01-May-09
208,Munaf Patel,3,36,1,18,KKR,Newlands,23-Apr-09
209,Albie Morkel,3,36,1,18,PBKS,Supersport Park,07-May-09
210,Dhawal Kulkarni,3,36,1,18,DC,Supersport Park,21-May-09
211,Vikram Singh,2,36,0,0,CSK,Supersport Park,07-May-09
212,Moises Henriques,4,35,1,24,DC,New Wanderers Stadium,10-May-09
