,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1009,Kane Williamson,56,35,5,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,07-May-18
1010,Quinton de Kock,53,35,1,4,CSK,M. Chinnaswamy Stadium,25-Apr-18
1011,Dinesh Karthik,52,35,4,2,RR,Eden Gardens,23-May-18
1012,Rishabh Pant,128,36,15,7,SRH,Arun Jaitley Stadium,10-May-18
1013,KL Rahul,94,36,10,3,MI,Wankhede Stadium,16-May-18
1014,AB de Villiers,57,36,2,4,PBKS,M. Chinnaswamy Stadium,13-Apr-18
1015,Gautam Gambhir,55,36,5,1,PBKS,IS Bindra Stadium,08-Apr-18
1016,Chris Lynn,55,36,4,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,19-May-18
1017,Sanju Samson,52,36,4,0,MI,Sawai Mansingh Stadium,22-Apr-18
1018,Virat Kohli,68,37,5,3,KKR,M. Chinnaswamy Stadium,29-Apr-18
1019,Faf du Plessis,67,37,5,4,SRH,Wankhede Stadium,22-May-18
1020,Evin Lewis,60,37,4,4,RR,Wankhede Stadium,13-May-18
1021,Manish Pandey,57,37,3,1,PBKS,IS Bindra Stadium,19-Apr-18
1022,Parthiv Patel,53,37,5,2,CSK,Maharashtra Cricket Association's International Stadium,05-May-18
1023,Jos Buttler,51,37,7,0,PBKS,Holkar Cricket Stadium,06-May-18
1024,Kane Williamson,51,37,5,2,CSK,Maharashtra Cricket Association's International Stadium,13-May-18
1025,Sanju Samson,50,37,4,2,KKR,Eden Gardens,23-May-18
1026,Kane Williamson,83,38,8,2,DC,Arun Jaitley Stadium,10-May-18
1027,Rahul Tripathi,80,38,5,3,RCB,Sawai Mansingh Stadium,19-May-18
1028,Shikhar Dhawan,79,38,10,3,CSK,Maharashtra Cricket Association's International Stadium,13-May-18
1029,Prithvi Shaw,62,38,7,2,KKR,Arun Jaitley Stadium,27-Apr-18
1030,Chris Gayle,50,38,6,2,MI,Holkar Cricket Stadium,04-May-18
